group,n,subjects,mean_ita,std_ita
1,1716,1715,15.89988511411305,23.172469177776815
10,1632,1630,17.118153838030253,19.472447579715947
11,778,777,35.925846060290915,17.28810116848863
12,243,243,30.930773314293212,16.816240686455938
2,2511,2096,23.322498848418455,26.300495930537434
3,232,232,17.240383466091224,22.073209903876975
4,2072,2071,18.583515243460933,24.71507233016564
5,480,479,20.544685268543752,26.116589537046178
6,2092,2090,16.954617660587356,23.12109917047337
7,1692,1690,31.078116093803622,16.511100342701944
8,1162,876,18.485321917009795,31.697199432688087
9,646,644,21.111519890524185,16.70570320972259
