group,n,subjects,mean_ita,std_ita
1,1501,170,30.376847404084245,21.055963114104767
10,812,116,31.572774066083458,10.348245455534054
11,963,107,28.17763916434514,18.851497338721575
2,1805,201,28.029502532289847,12.828888558186053
3,1326,149,21.586865384623206,19.06516101635452
4,4112,708,18.073933179247152,16.096233318427107
5,1159,116,6.860919629544444,21.123900411320278
6,81,27,34.488605977638834,11.148472563799041
7,1494,249,36.74476004020703,14.065254643461781
8,941,146,-35.27098391219246,23.69189909448886
9,1062,118,38.07012830630511,10.839962936958115
