wavelength_nm,expected,found,column,missing_fraction
400,True,True,reflectance_400,0.0
410,True,True,reflectance_410,0.0
420,True,True,reflectance_420,0.0
430,True,True,reflectance_430,0.0
440,True,True,reflectance_440,0.0
450,True,True,reflectance_450,0.0
460,True,True,reflectance_460,0.0
470,True,True,reflectance_470,0.0
480,True,True,reflectance_480,0.0
490,True,True,reflectance_490,0.0
500,True,True,reflectance_500,0.0
510,True,True,reflectance_510,0.0
520,True,True,reflectance_520,0.0
530,True,True,reflectance_530,0.0
540,True,True,reflectance_540,0.0
550,True,True,reflectance_550,0.0
560,True,True,reflectance_560,0.0
570,True,True,reflectance_570,0.0
580,True,True,reflectance_580,0.0
590,True,True,reflectance_590,0.0
600,True,True,reflectance_600,0.0
610,True,True,reflectance_610,0.0
620,True,True,reflectance_620,0.0
630,True,True,reflectance_630,0.0
640,True,True,reflectance_640,0.0
650,True,True,reflectance_650,0.0
660,True,True,reflectance_660,0.0
670,True,True,reflectance_670,0.0
680,True,True,reflectance_680,0.0
690,True,True,reflectance_690,0.0
700,True,True,reflectance_700,0.0
