geometry,component,eigenvalue,explained_variance_ratio,cumulative_explained_variance
pooled_diagnostic,1,0.16972775140109925,0.9328025072889463,0.9328025072889463
pooled_diagnostic,2,0.009158754608698224,0.05033537056912052,0.9831378778580668
pooled_diagnostic,3,0.002029200029562135,0.011152229731089834,0.9942901075891567
pooled_diagnostic,4,0.0005785007348425659,0.0031793677314112373,0.997469475320568
pooled_diagnostic,5,0.00028448414217181517,0.0015634892874689648,0.9990329646080369
pooled_diagnostic,6,5.948255496846931e-05,0.000326908687333151,0.9993598732953701
pooled_diagnostic,7,4.664052306605085e-05,0.00025633048513360785,0.9996162037805038
pooled_diagnostic,8,2.8488029852262998e-05,0.00015656665132571343,0.9997727704318294
pooled_diagnostic,9,1.3319909858901623e-05,7.320455971801509e-05,0.9998459749915475
pooled_diagnostic,10,6.9112525295178584e-06,3.798338005908194e-05,0.9998839583716066
pooled_diagnostic,11,6.360471045062063e-06,3.495635386314445e-05,0.9999189147254698
pooled_diagnostic,12,4.101432860223091e-06,2.2540962358313523e-05,0.9999414556878281
pooled_diagnostic,13,2.935133824916605e-06,1.6131128636946474e-05,0.9999575868164651
pooled_diagnostic,14,1.6663955555644135e-06,9.158301689228496e-06,0.9999667451181543
pooled_diagnostic,15,1.198863297008266e-06,6.5888028334461305e-06,0.9999733339209878
pooled_diagnostic,16,9.907514275302983e-07,5.44504601086926e-06,0.9999787789669985
pooled_diagnostic,17,8.264431886670369e-07,4.542028467098933e-06,0.9999833209954656
pooled_diagnostic,18,6.240689054873924e-07,3.429804701672009e-06,0.9999867508001673
pooled_diagnostic,19,4.664599352362727e-07,2.563605500846909e-06,0.9999893144056682
pooled_diagnostic,20,3.353473729069964e-07,1.8430272461524023e-06,0.9999911574329143
pooled_diagnostic,21,3.1778816487360707e-07,1.7465240335407746e-06,0.9999929039569478
pooled_diagnostic,22,2.533790025357351e-07,1.392539327886101e-06,0.9999942964962757
pooled_diagnostic,23,2.3161038954965427e-07,1.2729017517914742e-06,0.9999955693980275
pooled_diagnostic,24,1.7908088071765772e-07,9.842061369574118e-07,0.9999965536041645
pooled_diagnostic,25,1.630123763216361e-07,8.958956452124812e-07,0.9999974494998097
pooled_diagnostic,26,1.2428433750572304e-07,6.830511845297046e-07,0.9999981325509942
pooled_diagnostic,27,1.0457046014076391e-07,5.747061785856644e-07,0.9999987072571728
pooled_diagnostic,28,8.412630073973444e-08,4.6234763384993493e-07,0.9999991696048066
pooled_diagnostic,29,6.873588094129762e-08,3.7776381029897777e-07,0.999999547368617
