body_site,rows,subjects,participation_ratio,shannon_effective_rank,components_for_0.9,components_for_0.95,components_for_0.99
1,1716,1715,1.089820515725365,1.234629564509466,1,1,3
10,1632,1630,1.0983402148006682,1.2479413800789094,1,1,2
11,778,777,1.1494078360866082,1.3626369784331387,1,2,3
12,243,243,1.1703329935920561,1.376130862385697,1,2,3
2,2511,2096,1.105914496858399,1.276645501701149,1,1,3
3,232,232,1.0835099575931866,1.2281427253757515,1,1,3
4,2072,2071,1.0939898889240494,1.2479324601820514,1,1,3
5,480,479,1.10814494141471,1.2719650522783121,1,2,3
6,2092,2090,1.1091705504896623,1.2778939763493675,1,2,3
7,1692,1690,1.1345864442452533,1.3280131635098105,1,2,3
8,1162,876,1.06865419291682,1.181335962053947,1,1,2
9,646,644,1.1940501579474847,1.4500866222691207,1,2,3
