body_site,subject_site_rows,participation_ratio,shannon_effective_rank,components_for_0.9,components_for_0.95,components_for_0.99
1,1715,1.0898071214624552,1.2345962337174878,1,1,3
10,1630,1.0981772798876017,1.2476203452225956,1,1,2
11,777,1.1493573499215342,1.3625314975101657,1,2,3
12,243,1.1703329935920563,1.3761308623856972,1,2,3
2,2096,1.1245387245866303,1.3171775708980742,1,2,3
3,232,1.0835099575931864,1.2281427253757513,1,1,3
4,2071,1.0939426371017413,1.2478154571551163,1,1,3
5,479,1.1084407827649077,1.2725383413079683,1,2,3
6,2090,1.1091638688406278,1.2778741617606373,1,2,3
7,1690,1.1345535688649904,1.3279052711134565,1,2,3
8,876,1.064877983498122,1.1721679930965891,1,1,2
9,644,1.1933328565620192,1.4488501862477392,1,2,3
