body_site,component,bootstrap_iterations,reference_bootstrap_cosine_mean,reference_bootstrap_cosine_p2_5,reference_bootstrap_cosine_p50,reference_bootstrap_cosine_p97_5,reference_bootstrap_cosine_p99
1,1,200,0.999974667202683,0.9998895131631362,0.9999867931867836,0.9999987629170317,0.9999989249926821
1,2,200,0.9998129665774792,0.9993378264195122,0.9998606384289306,0.9999780740558648,0.9999898166219549
1,3,200,0.9995962865140285,0.9986626862226982,0.9997048807988693,0.9999452884904174,0.9999567092237285
10,1,200,0.9999762761764646,0.9999011739369628,0.9999872323378622,0.9999983379036581,0.9999991764433082
10,2,200,0.9998035068721733,0.9992851409133096,0.9998631053231974,0.9999820745793294,0.9999856086872823
10,3,200,0.9992400510570699,0.9976766327815043,0.9994613068140514,0.9999327626019078,0.9999571267407755
11,1,200,0.9999540475106943,0.9998424979381393,0.999968961040171,0.9999967790672579,0.9999973749401568
11,2,200,0.9996155728042458,0.998819284596068,0.9997271460691486,0.9999450221012383,0.9999507446918965
11,3,200,0.9984423924904234,0.9939638236255879,0.9988776562164913,0.9997978048861057,0.9998611201006957
12,1,200,0.999807045775238,0.9991940823208301,0.9998880020122096,0.9999919171936994,0.9999936533556266
12,2,200,0.9993482293122246,0.9979665125293189,0.9995065020434437,0.9999122968749413,0.9999442073448097
12,3,200,0.9952763826305369,0.9839037802487838,0.9965099995811368,0.999587742133758,0.9996892995349229
2,1,200,0.9999823837471985,0.999934808326282,0.9999879367689302,0.9999986804243107,0.9999990457025971
2,2,200,0.9997606556631353,0.9991892197432343,0.9998416210495802,0.9999709105633355,0.999973729038433
2,3,200,0.9996632750755851,0.9990126714744108,0.999718449190902,0.9999559141538711,0.9999614234283755
3,1,200,0.9998765372777598,0.9994165199121958,0.9999414769921953,0.9999922844502775,0.9999941127195433
3,2,200,0.998152463523778,0.9941430004043469,0.9988495410812861,0.9998017159674047,0.9998797162430136
3,3,200,0.9916227244735021,0.9670021601788742,0.9949173148575872,0.999483399489891,0.999617367133265
4,1,200,0.9999874684628925,0.9999444644067312,0.9999913434186782,0.999998839259685,0.9999991699993191
4,2,200,0.9998280176982004,0.9993058666872234,0.9998899842472412,0.999979967601886,0.999986429035707
4,3,200,0.9996481217061121,0.9989653069106268,0.9997054874564075,0.9999485852777362,0.9999678328015508
5,1,200,0.999937999054958,0.9997775968974875,0.9999655035867285,0.9999960717621459,0.9999967064111944
5,2,200,0.9993704792752643,0.997370192603108,0.9996404958133664,0.9999351722559344,0.9999543969446835
5,3,200,0.9984992144801691,0.9950154988716149,0.9988081582741989,0.9997862870572005,0.9998659240340215
6,1,200,0.9999783943431146,0.9999186287963391,0.9999886534434155,0.9999989255102214,0.999999211683553
6,2,200,0.9998413181934278,0.9994216549313453,0.9998961951492398,0.9999822953607886,0.9999845342225127
6,3,200,0.9996380401226744,0.9987866641750637,0.9997136713960151,0.9999546297282341,0.9999649688148626
7,1,200,0.9999737875192437,0.9999005848048461,0.9999836714801961,0.9999984055837149,0.999998683781775
7,2,200,0.9997762178914439,0.9992808945717563,0.9998407213960812,0.9999758817959471,0.9999814241443397
7,3,200,0.9994398557752744,0.9981131045699775,0.999574209510599,0.9999380248120633,0.9999583729120912
8,1,200,0.9999810498651734,0.9999209460890026,0.9999886656952329,0.9999988684866756,0.9999997141440722
8,2,200,0.9998047980750715,0.9993543276990372,0.9998681910439726,0.9999820707432323,0.9999863604272146
8,3,200,0.9995298235682054,0.9987383930858379,0.9996269233700799,0.9999063515243496,0.9999128795395819
9,1,200,0.9999201245019224,0.9996467061386695,0.9999490688094298,0.99999297449939,0.9999944533241673
9,2,200,0.9994764005047876,0.9983819966002246,0.9995706537991935,0.9999327444745401,0.9999546527321015
9,3,200,0.998245227797494,0.9941935133542192,0.9986620913826673,0.9998372037345485,0.9998878151473396
