component,body_site_a,body_site_b,absolute_cosine_similarity
1,1,10,0.9973503087541948
1,1,11,0.9988562115521714
1,1,12,0.9535240007940134
1,1,2,0.9980539607631314
1,1,3,0.9984911500796805
1,1,4,0.9919217864170561
1,1,5,0.9962853434585413
1,1,6,0.998146712399163
1,1,7,0.9860868804526203
1,1,8,0.9997048692243511
1,1,9,0.9979730175073834
1,10,11,0.9992359296266226
1,10,12,0.9323408910766049
1,10,2,0.9953294992344315
1,10,3,0.9953069430161603
1,10,4,0.9816822656123118
1,10,5,0.9902921981559915
1,10,6,0.9939570387953752
1,10,7,0.9953364072356089
1,10,8,0.9978072163330706
1,10,9,0.992280808564236
1,11,12,0.9448329922346267
1,11,2,0.9978461124324928
1,11,3,0.9976557027520258
1,11,4,0.9877193920803564
1,11,5,0.9944616110637972
1,11,6,0.9970342240175197
1,11,7,0.992189021472794
1,11,8,0.9990129102674384
1,11,9,0.9957754349356677
1,12,2,0.9613518208834692
1,12,3,0.9608785611472024
1,12,4,0.9836841335194009
1,12,5,0.9722709313884522
1,12,6,0.9657744451580089
1,12,7,0.9001674474980476
1,12,8,0.9518009670759104
1,12,9,0.9688498784713149
1,2,3,0.9996556726076937
1,2,4,0.9943810924478812
1,2,5,0.9985325917584429
1,2,6,0.9997528952187614
1,2,7,0.9844051829194445
1,2,8,0.9984049519713806
1,2,9,0.9988989108983437
1,3,4,0.9946762903789788
1,3,5,0.998751014313988
1,3,6,0.999698862348555
1,3,7,0.9831946482693033
1,3,8,0.9989893171495025
1,3,9,0.9992877832105147
1,4,5,0.9981557142807436
1,4,6,0.996265688513011
1,4,7,0.9614315452917787
1,4,8,0.9913337381642444
1,4,9,0.9974391398600841
1,5,6,0.9992957789780864
1,5,7,0.9750600418330168
1,5,8,0.9964057819402601
1,5,9,0.999415906561499
1,6,7,0.9810340208686428
1,6,8,0.9983414324405134
1,6,9,0.9996535406907627
1,7,8,0.9869891264665643
1,7,9,0.9772796411646014
1,8,9,0.997936761020464
2,1,10,0.9965876872977013
2,1,11,0.9825423463195013
2,1,12,0.8473725765193728
2,1,2,0.9443682895793412
2,1,3,0.9447141682998712
2,1,4,0.9666171831178048
2,1,5,0.9094580906619478
2,1,6,0.9718314930381263
2,1,7,0.9818702355294234
2,1,8,0.9941155589760646
2,1,9,0.9258790479179443
2,10,11,0.9889531383714879
2,10,12,0.8391172312087412
2,10,2,0.9517063326432513
2,10,3,0.9527243241287918
2,10,4,0.9624779966915424
2,10,5,0.9176951808105137
2,10,6,0.9735189509113479
2,10,7,0.990180402352572
2,10,8,0.993410633284293
2,10,9,0.9327514910683041
2,11,12,0.8937810967397121
2,11,2,0.9814975848649774
2,11,3,0.9828597458198163
2,11,4,0.9797250573837053
2,11,5,0.9606383836214588
2,11,6,0.9872125443698884
2,11,7,0.9714710659676498
2,11,8,0.9870534885997879
