body_site,component,descriptor,correlation,absolute_correlation,subjects
1,1,broadband_mean_reflectance,0.9991087299125972,0.9991087299125972,1715
1,1,linear_slope_per_nm,0.8282384518545024,0.8282384518545024,1715
1,1,quadratic_curvature,-0.5137209725561652,0.5137209725561652,1715
1,1,red_green_contrast_650_560,0.7614565477746372,0.7614565477746372,1715
1,1,blue_red_contrast_450_650,-0.813969666294809,0.813969666294809,1715
1,1,log_red_green_ratio_650_560,-0.5580301892390939,0.5580301892390939,1715
1,1,hemoglobin_proxy_540_580_vs_600,-0.8537277703255032,0.8537277703255032,1715
1,1,hemoglobin_log_proxy,0.18766669724785714,0.18766669724785714,1715
1,1,visible_span_700_450,0.6532030693312643,0.6532030693312643,1715
1,1,green_band_depth_560_vs_500_650,-0.7150952516411699,0.7150952516411699,1715
1,2,broadband_mean_reflectance,-0.04147467484058381,0.04147467484058381,1715
1,2,linear_slope_per_nm,0.5554605447465675,0.5554605447465675,1715
1,2,quadratic_curvature,0.6574100579417406,0.6574100579417406,1715
1,2,red_green_contrast_650_560,0.5414357801907126,0.5414357801907126,1715
1,2,blue_red_contrast_450_650,-0.5766071603367565,0.5766071603367565,1715
1,2,log_red_green_ratio_650_560,0.5779327947310937,0.5779327947310937,1715
1,2,hemoglobin_proxy_540_580_vs_600,-0.3188810799508327,0.3188810799508327,1715
1,2,hemoglobin_log_proxy,-0.6255642374777775,0.6255642374777775,1715
1,2,visible_span_700_450,0.7449234378925522,0.7449234378925522,1715
1,2,green_band_depth_560_vs_500_650,-0.30727033364438766,0.30727033364438766,1715
1,3,broadband_mean_reflectance,-6.383408923666195e-05,6.383408923666195e-05,1715
1,3,linear_slope_per_nm,0.06149181689998701,0.06149181689998701,1715
1,3,quadratic_curvature,-0.4147728576521888,0.4147728576521888,1715
1,3,red_green_contrast_650_560,-0.34896399774940373,0.34896399774940373,1715
1,3,blue_red_contrast_450_650,-0.021961131894132336,0.021961131894132336,1715
1,3,log_red_green_ratio_650_560,-0.5396560587535358,0.5396560587535358,1715
1,3,hemoglobin_proxy_540_580_vs_600,0.27585883842614134,0.27585883842614134,1715
1,3,hemoglobin_log_proxy,0.5624785883696426,0.5624785883696426,1715
1,3,visible_span_700_450,0.01738529039901638,0.01738529039901638,1715
