body_site,component,subjects,explained_variance_ratio,loading_mass_interval_low_nm,loading_mass_interval_high_nm,loading_mass_fraction_achieved
1,1,1715,0.957336106253938,510,700,0.5324655099246122
1,2,1715,0.032407240176892296,440,700,0.50478336550574
1,3,1715,0.006756748318050216,470,590,0.5475593253388832
10,1,1630,0.953502196884567,510,700,0.5000107023509285
10,2,1630,0.03734095481860512,440,700,0.5017909234399698
10,3,1630,0.005842572672098303,400,590,0.5137072584701841
11,1,777,0.9312419050896862,510,700,0.5134273632724091
11,2,777,0.05232887516586435,440,700,0.5040773669157191
11,3,777,0.00912067662367876,470,580,0.5301555763389985
12,1,243,0.9219021901079887,620,700,0.5277958438540128
12,2,243,0.06713337610906632,490,590,0.5040671408699924
12,3,243,0.006250419399125412,460,590,0.505194668689001
2,1,2096,0.9420712739330372,590,700,0.5061621113140914
2,2,2096,0.0397317680103871,540,700,0.5062729853929777
2,3,2096,0.012912971493638794,400,590,0.5105442234826622
3,1,232,0.9602669483353723,590,700,0.5100677465364838
3,2,232,0.027271928695996282,530,700,0.5089671907266773
3,3,232,0.007760881566416525,400,590,0.5378154254454803
4,1,2071,0.9555151723965455,600,700,0.522725597600013
4,2,2071,0.03232751151471718,450,700,0.5131018747532545
4,3,2071,0.007986017099724983,400,590,0.5036130267853521
5,1,479,0.9489648760220885,590,700,0.527225190868086
5,2,479,0.03961010144098453,530,700,0.5231780237432515
5,3,479,0.00777900727124573,400,590,0.5173103456300284
6,1,2090,0.9486825682785202,590,700,0.5154002244439685
6,2,2090,0.0388582120134066,400,700,0.5205550612019036
6,3,2090,0.008051525938292848,400,590,0.5238532909906051
7,1,1690,0.9375517748540423,470,670,0.5033225508276522
7,2,1690,0.047987005336149975,410,700,0.5175284818811962
7,3,1690,0.009303307912633832,400,590,0.5221111916431489
8,1,876,0.9687083945167453,510,700,0.5299030816786673
8,2,876,0.025698486592133783,400,700,0.5197372878045228
8,3,876,0.004199377430940769,400,590,0.5176142247864904
9,1,644,0.9129854324060136,590,700,0.5257375959295407
9,2,644,0.06519907081722164,530,700,0.5227181536669565
9,3,644,0.01288905588243404,400,590,0.5242888054824176
