recovery_order,acquisition_order,unique_review_order,canonical_key,title,year,doi,claim_ids_json,minimum_claim_rank,scientific_content_state,current_evidence_class,selected_route,selected_source_url,accepted_route,source_format,local_source_path,local_text_path,permitted_terminal_states,resolved_terminal_state,resolved_source_class,resolved_source_url,resolved_repository_or_publisher,resolution_evidence,resolution_status
1,1,2,doi:10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",2001.0,10.1046/j.0022-202x.2001.01577.x,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",1,ABSTRACT_OR_PREVIEW_ONLY,PREVIEW_OR_ABSTRACT,OPENALEX_OA_PDF,http://www.jidonline.org/article/S0022202X15414836/pdf,OPENALEX_LOCATION_HTML,HTML,analysis/prior_art/ingestion/scientific_sources/paper-002/source.html,analysis/prior_art/ingestion/scientific_sources/paper-002/source.txt,FULL_TEXT_ACQUIRED|AUTHOR_MANUSCRIPT_ACQUIRED|ABSTRACT_ONLY|PAYWALLED_OR_INACCESSIBLE,NOT_ADJUDICATED,,,,,OPEN
2,2,9,doi:10.1364/oe.425401,Optimized light source spectral power distribution for RGB camera based spectral reflectance recovery,2021.0,10.1364/oe.425401,"[""TC-NOV-002"",""TC-NOV-003""]",1,UNRESOLVED_NO_VALIDATED_SOURCE,NO_VALIDATED_CONTENT,OPENALEX_OA_LANDING_PAGE,https://doi.org/10.1364/oe.425401,,,,,FULL_TEXT_ACQUIRED|AUTHOR_MANUSCRIPT_ACQUIRED|PAYWALLED_OR_INACCESSIBLE|SOURCE_NOT_FOUND,NOT_ADJUDICATED,,,,,OPEN
3,5,11,doi:10.1111/jdv.17076,"Hyperspectral measurement of skin reflectance detects differences in the visible and near‐infrared regions according to race, gender and body site",2021.0,10.1111/jdv.17076,"[""TC-NOV-002"",""TC-NOV-005""]",2,ABSTRACT_OR_PREVIEW_ONLY,PREVIEW_OR_ABSTRACT,EUROPE_PMC_FULL_TEXT_XML,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8078188/fullTextXML,OPENALEX_BEST_HTML,HTML,analysis/prior_art/ingestion/scientific_sources/paper-011/source.html,analysis/prior_art/ingestion/scientific_sources/paper-011/source.txt,FULL_TEXT_ACQUIRED|AUTHOR_MANUSCRIPT_ACQUIRED|ABSTRACT_ONLY|PAYWALLED_OR_INACCESSIBLE,NOT_ADJUDICATED,,,,,OPEN
4,7,13,doi:10.1093/ced/llaf126,Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study,2025.0,10.1093/ced/llaf126,"[""TC-NOV-004"",""TC-NOV-006""]",2,ABSTRACT_OR_PREVIEW_ONLY,PREVIEW_OR_ABSTRACT,CROSSREF_PUBLISHER_PDF_LINK,https://academic.oup.com/ced/advance-article-pdf/doi/10.1093/ced/llaf126/62402753/llaf126.pdf,OPENALEX_LOCATION_HTML,HTML,analysis/prior_art/ingestion/scientific_sources/paper-013/source.html,analysis/prior_art/ingestion/scientific_sources/paper-013/source.txt,FULL_TEXT_ACQUIRED|AUTHOR_MANUSCRIPT_ACQUIRED|ABSTRACT_ONLY|PAYWALLED_OR_INACCESSIBLE,NOT_ADJUDICATED,,,,,OPEN
5,8,3,doi:10.1002/jbio.202400118,Noninvasive Detection of the Skin Structure and Inversed Retrieval of Chromophore Information Based on Diffuse Reflectance Spectroscopy,2024.0,10.1002/jbio.202400118,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,ABSTRACT_OR_PREVIEW_ONLY,PREVIEW_OR_ABSTRACT,OPENALEX_OA_PDF,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jbio.202400118,OPENALEX_LOCATION_HTML,HTML,analysis/prior_art/ingestion/scientific_sources/paper-003/source.html,analysis/prior_art/ingestion/scientific_sources/paper-003/source.txt,FULL_TEXT_ACQUIRED|AUTHOR_MANUSCRIPT_ACQUIRED|ABSTRACT_ONLY|PAYWALLED_OR_INACCESSIBLE,NOT_ADJUDICATED,,,,,OPEN
6,9,14,doi:10.1117/12.3098393,Optimal wavelength selection for laparoscopic multispectral imaging to visualize tissue oxygenation,2025.0,10.1117/12.3098393,"[""TC-NOV-002"",""TC-NOV-003""]",3,UNRESOLVED_NO_VALIDATED_SOURCE,NO_VALIDATED_CONTENT,OPENALEX_OA_LANDING_PAGE,https://discovery.dundee.ac.uk/en/publications/6d6b449c-b265-456f-bf94-e124da85b69a,,,,,FULL_TEXT_ACQUIRED|AUTHOR_MANUSCRIPT_ACQUIRED|PAYWALLED_OR_INACCESSIBLE|SOURCE_NOT_FOUND,NOT_ADJUDICATED,,,,,OPEN
7,10,15,doi:10.2352/issn.2470-1173.2016.13.iqsp-219,Effect of Capture Illumination on Preferred White Point for Camera Automatic White Balance,2016.0,10.2352/issn.2470-1173.2016.13.iqsp-219,"[""TC-NOV-003"",""TC-NOV-006""]",3,UNRESOLVED_NO_VALIDATED_SOURCE,NO_VALIDATED_CONTENT,CROSSREF_PUBLISHER_LANDING_PAGE,https://doi.org/10.2352/issn.2470-1173.2016.13.iqsp-219,,,,,FULL_TEXT_ACQUIRED|AUTHOR_MANUSCRIPT_ACQUIRED|PAYWALLED_OR_INACCESSIBLE|SOURCE_NOT_FOUND,NOT_ADJUDICATED,,,,,OPEN
8,12,17,doi:10.3390/app15158321,Evaluating Skin Tone Fairness in Convolutional Neural Networks for the Classification of Diabetic Foot Ulcers,2025.0,10.3390/app15158321,"[""TC-NOV-004"",""TC-NOV-006""]",3,UNRESOLVED_NO_VALIDATED_SOURCE,NO_VALIDATED_CONTENT,OPENALEX_OA_PDF,https://www.mdpi.com/2076-3417/15/15/8321/pdf?version=1753516481,,,,,FULL_TEXT_ACQUIRED|AUTHOR_MANUSCRIPT_ACQUIRED|PAYWALLED_OR_INACCESSIBLE|SOURCE_NOT_FOUND,NOT_ADJUDICATED,,,,,OPEN
9,13,4,doi:10.1007/s10043-015-0177-3,Evaluation of light scattering properties and chromophore concentrations in skin tissue based on diffuse reflectance signals at isosbestic wavelengths of hemoglobin,2016.0,10.1007/s10043-015-0177-3,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",4,ABSTRACT_OR_PREVIEW_ONLY,PREVIEW_OR_ABSTRACT,CROSSREF_PUBLISHER_PDF_LINK,http://link.springer.com/content/pdf/10.1007/s10043-015-0177-3.pdf,OPENALEX_LOCATION_HTML,HTML,analysis/prior_art/ingestion/scientific_sources/paper-004/source.html,analysis/prior_art/ingestion/scientific_sources/paper-004/source.txt,FULL_TEXT_ACQUIRED|AUTHOR_MANUSCRIPT_ACQUIRED|ABSTRACT_ONLY|PAYWALLED_OR_INACCESSIBLE,NOT_ADJUDICATED,,,,,OPEN
10,14,18,doi:10.2196/31697,Performance of Artificial Intelligence Imaging Models in Detecting Dermatological Manifestations in Higher Fitzpatrick Skin Color Classifications,2021.0,10.2196/31697,"[""TC-NOV-004"",""TC-NOV-006""]",4,SUBSTANTIVE_PARTIAL_TEXT,PARTIAL_SCIENTIFIC_CONTENT,EUROPE_PMC_FULL_TEXT_XML,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10334948/fullTextXML,EUROPE_PMC_FULL_TEXT_XML,XML,analysis/prior_art/ingestion/scientific_sources/paper-018/source.xml,analysis/prior_art/ingestion/scientific_sources/paper-018/source.txt,FULL_TEXT_ACQUIRED|AUTHOR_MANUSCRIPT_ACQUIRED|SUBSTANTIVE_PARTIAL_ONLY,NOT_ADJUDICATED,,,,,OPEN
