acquisition_order,unique_review_order,canonical_key,title,year,doi,claim_ids_json,minimum_claim_rank,route_resolution_state,selected_route,selected_source_url,primary_acquisition_state,alternate_acquisition_state,acquisition_pass,accepted_route,source_format,local_source_path,local_text_path,source_sha256,source_hash_valid,word_count,heading_count,introduction_section,methods_section,results_section,discussion_section,conclusion_section,reference_count,figure_count,table_count,equation_count,scientific_content_state,source_resolution_status,eligible_for_complete_novelty_review,eligible_for_bounded_scientific_review,remaining_action,classification_rationale,terminal_source_state,terminal_resolution_status,terminal_resolution_evidence
1,2,doi:10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",2001.0,10.1046/j.0022-202x.2001.01577.x,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",1,SCIENTIFIC_DOCUMENT_ROUTE_CANDIDATE,OPENALEX_OA_PDF,http://www.jidonline.org/article/S0022202X15414836/pdf,REJECTED_HTML_OR_ACCESS_GATE,ACQUIRED_AND_IDENTITY_VALIDATED,ALTERNATE,OPENALEX_LOCATION_HTML,HTML,analysis/prior_art/ingestion/scientific_sources/paper-002/source.html,analysis/prior_art/ingestion/scientific_sources/paper-002/source.txt,a7d6f3aabbdd00d245091f2c2cc4dad8744f22586b3bb52263954dd2e664ed3e,True,1103.0,24.0,False,False,False,False,False,1.0,0.0,0.0,0.0,ABSTRACT_OR_PREVIEW_ONLY,TERMINAL_ABSTRACT_OR_PREVIEW,False,False,IDENTITY_AND_ABSTRACT_EVIDENCE_ONLY,"Identity-valid PubMed abstract contained approximately 1,140 words. The Elsevier XML response contained only 67 words and did not provide complete methods, results, discussion, or references.",ABSTRACT_ONLY,CLOSED_QA_ADJUDICATED,"Identity-valid PubMed abstract contained approximately 1,140 words. The Elsevier XML response contained only 67 words and did not provide complete methods, results, discussion, or references."
2,9,doi:10.1364/oe.425401,Optimized light source spectral power distribution for RGB camera based spectral reflectance recovery,2021.0,10.1364/oe.425401,"[""TC-NOV-002"",""TC-NOV-003""]",1,LANDING_PAGE_ROUTE_ONLY,OPENALEX_OA_LANDING_PAGE,https://doi.org/10.1364/oe.425401,,UNRESOLVED_AFTER_ALTERNATE_ROUTES,,,,,,,,,,,,,,,,,,,UNRESOLVED_NO_VALIDATED_SOURCE,PAYWALLED_OR_INACCESSIBLE,False,False,SCIENTIFIC_FIELDS_NOT_ESTABLISHED,"A publisher document route and submitted-version repository route were recorded, but Optica bot protection and the repository access gate prevented retrieval of a validated scientific document.",PAYWALLED_OR_INACCESSIBLE,CLOSED_QA_ADJUDICATED,"A publisher document route and submitted-version repository route were recorded, but Optica bot protection and the repository access gate prevented retrieval of a validated scientific document."
3,10,doi:10.1038/s41597-025-04382-5,Investigating the Quality of DermaMNIST and Fitzpatrick17k Dermatological Image Datasets.,2025.0,10.1038/s41597-025-04382-5,"[""TC-NOV-004"",""TC-NOV-006""]",1,SCIENTIFIC_DOCUMENT_ROUTE_CANDIDATE,EUROPE_PMC_FULL_TEXT_XML,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11787307/fullTextXML,ACQUIRED_AND_IDENTITY_VALIDATED,,PRIMARY,EUROPE_PMC_FULL_TEXT_XML,XML,analysis/prior_art/ingestion/scientific_sources/paper-010/source.xml,analysis/prior_art/ingestion/scientific_sources/paper-010/source.txt,820e00bc1db5266995d7c92402deef1d6f5711174d800087deeae84f9e868f3d,True,19107.0,43.0,True,True,True,True,False,126.0,9.0,8.0,114.0,FULL_SCIENTIFIC_TEXT,ACQUIRED_FULL_TEXT,True,True,SCIENTIFIC_EXTRACTION_READY,"Format structure contains methods, results, discussion/conclusion, and article back matter",,,
4,1,doi:10.1117/1.jbo.28.3.035001,Deep learning-based optical approach for skin analysis of melanin and hemoglobin distribution.,2023.0,10.1117/1.jbo.28.3.035001,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-003"",""TC-NOV-005""]",2,SCIENTIFIC_DOCUMENT_ROUTE_CANDIDATE,EUROPE_PMC_FULL_TEXT_XML,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10042298/fullTextXML,ACQUIRED_AND_IDENTITY_VALIDATED,,PRIMARY,EUROPE_PMC_FULL_TEXT_XML,XML,analysis/prior_art/ingestion/scientific_sources/paper-001/source.xml,analysis/prior_art/ingestion/scientific_sources/paper-001/source.txt,7f1b5c422f5431b9d40a9ba7a497962b8fbc754a9a361ecf80510b7abeea1109,True,6773.0,30.0,True,True,True,True,True,55.0,9.0,0.0,102.0,FULL_SCIENTIFIC_TEXT,ACQUIRED_FULL_TEXT,True,True,SCIENTIFIC_EXTRACTION_READY,"Format structure contains methods, results, discussion/conclusion, and article back matter",,,
5,11,doi:10.1111/jdv.17076,"Hyperspectral measurement of skin reflectance detects differences in the visible and near‐infrared regions according to race, gender and body site",2021.0,10.1111/jdv.17076,"[""TC-NOV-002"",""TC-NOV-005""]",2,SCIENTIFIC_DOCUMENT_ROUTE_CANDIDATE,EUROPE_PMC_FULL_TEXT_XML,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8078188/fullTextXML,FETCH_FAILED,ACQUIRED_AND_IDENTITY_VALIDATED,ALTERNATE,OPENALEX_BEST_HTML,HTML,analysis/prior_art/ingestion/scientific_sources/paper-011/source.html,analysis/prior_art/ingestion/scientific_sources/paper-011/source.txt,5f80d0fa3643c73d7abfb7ac8cde1152b0c5afa6b0ded63515ddb4232d099ea7,True,1936.0,22.0,False,False,False,False,False,1.0,1.0,1.0,0.0,SUBSTANTIVE_PARTIAL_TEXT,TERMINAL_SUBSTANTIVE_PARTIAL,False,True,BOUNDED_SCIENTIFIC_EXTRACTION_ONLY,"The identity-valid PMC article page supplied approximately 1,943 words of substantive scientific content, but complete methods, results, and discussion structure was not validated.",SUBSTANTIVE_PARTIAL_ONLY,CLOSED_QA_ADJUDICATED,"The identity-valid PMC article page supplied approximately 1,943 words of substantive scientific content, but complete methods, results, and discussion structure was not validated."
6,12,doi:10.1109/cvprw50498.2020.00239,Adaptive Weighted Attention Network with Camera Spectral Sensitivity Prior for Spectral Reconstruction from RGB Images,2020.0,10.1109/cvprw50498.2020.00239,"[""TC-NOV-002"",""TC-NOV-003""]",2,LANDING_PAGE_ROUTE_ONLY,CROSSREF_PUBLISHER_LANDING_PAGE,https://doi.org/10.1109/cvprw50498.2020.00239,,UNRESOLVED_AFTER_ALTERNATE_ROUTES,MANUAL_RECOVERY,ARXIV_AUTHOR_MANUSCRIPT,PDF,analysis/prior_art/ingestion/scientific_sources/paper-012/source.pdf,analysis/prior_art/ingestion/scientific_sources/paper-012/source.txt,ab9936a59ff597b36cf1a92bb52ee88a64f5cccfcaccc515a18c04d39927ac2b,True,5856,5,True,True,True,False,True,,,,,FULL_SCIENTIFIC_TEXT,ACQUIRED_FULL_TEXT,True,True,SCIENTIFIC_EXTRACTION_READY,"Identity-validated arXiv author manuscript with introduction, method, results, conclusion, references, and 5,856 extracted words.",,,
7,13,doi:10.1093/ced/llaf126,Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study,2025.0,10.1093/ced/llaf126,"[""TC-NOV-004"",""TC-NOV-006""]",2,SCIENTIFIC_DOCUMENT_ROUTE_CANDIDATE,CROSSREF_PUBLISHER_PDF_LINK,https://academic.oup.com/ced/advance-article-pdf/doi/10.1093/ced/llaf126/62402753/llaf126.pdf,REJECTED_HTML_OR_ACCESS_GATE,ACQUIRED_AND_IDENTITY_VALIDATED,ALTERNATE,OPENALEX_LOCATION_HTML,HTML,analysis/prior_art/ingestion/scientific_sources/paper-013/source.html,analysis/prior_art/ingestion/scientific_sources/paper-013/source.txt,252df7414956c484dcb2e98b3ff98364e387d11b84aa0f0f0e7d51e3df3eda7f,True,1317.0,23.0,False,False,False,False,False,1.0,0.0,0.0,0.0,ABSTRACT_OR_PREVIEW_ONLY,TERMINAL_ABSTRACT_OR_PREVIEW,False,False,IDENTITY_AND_ABSTRACT_EVIDENCE_ONLY,No complete scientific document validated from the fixed route dossier.,ABSTRACT_ONLY,CLOSED,No complete scientific document validated from the fixed route dossier.
8,3,doi:10.1002/jbio.202400118,Noninvasive Detection of the Skin Structure and Inversed Retrieval of Chromophore Information Based on Diffuse Reflectance Spectroscopy,2024.0,10.1002/jbio.202400118,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,SCIENTIFIC_DOCUMENT_ROUTE_CANDIDATE,OPENALEX_OA_PDF,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jbio.202400118,REJECTED_HTML_OR_ACCESS_GATE,ACQUIRED_AND_IDENTITY_VALIDATED,ALTERNATE,OPENALEX_LOCATION_HTML,HTML,analysis/prior_art/ingestion/scientific_sources/paper-003/source.html,analysis/prior_art/ingestion/scientific_sources/paper-003/source.txt,36f8376aae25e8276ad98adf41c74684ee66ae48f274af75903209a744740c57,True,1348.0,24.0,False,False,False,False,False,2.0,0.0,0.0,0.0,ABSTRACT_OR_PREVIEW_ONLY,TERMINAL_ABSTRACT_OR_PREVIEW,False,False,IDENTITY_AND_ABSTRACT_EVIDENCE_ONLY,No complete scientific document validated from the fixed route dossier.,ABSTRACT_ONLY,CLOSED,No complete scientific document validated from the fixed route dossier.
9,14,doi:10.1117/12.3098393,Optimal wavelength selection for laparoscopic multispectral imaging to visualize tissue oxygenation,2025.0,10.1117/12.3098393,"[""TC-NOV-002"",""TC-NOV-003""]",3,LANDING_PAGE_ROUTE_ONLY,OPENALEX_OA_LANDING_PAGE,https://discovery.dundee.ac.uk/en/publications/6d6b449c-b265-456f-bf94-e124da85b69a,,UNRESOLVED_AFTER_ALTERNATE_ROUTES,,,,,,,,,,,,,,,,,,,UNRESOLVED_NO_VALIDATED_SOURCE,SOURCE_NOT_FOUND,False,False,SCIENTIFIC_FIELDS_NOT_ESTABLISHED,No complete scientific document validated from the fixed route dossier.,SOURCE_NOT_FOUND,CLOSED,No complete scientific document validated from the fixed route dossier.
10,15,doi:10.2352/issn.2470-1173.2016.13.iqsp-219,Effect of Capture Illumination on Preferred White Point for Camera Automatic White Balance,2016.0,10.2352/issn.2470-1173.2016.13.iqsp-219,"[""TC-NOV-003"",""TC-NOV-006""]",3,LANDING_PAGE_ROUTE_ONLY,CROSSREF_PUBLISHER_LANDING_PAGE,https://doi.org/10.2352/issn.2470-1173.2016.13.iqsp-219,,UNRESOLVED_AFTER_ALTERNATE_ROUTES,,,,,,,,,,,,,,,,,,,ABSTRACT_OR_PREVIEW_ONLY,TERMINAL_ABSTRACT_OR_PREVIEW,False,False,IDENTITY_AND_ABSTRACT_EVIDENCE_ONLY,"The identity-valid Imaging Science article page contained approximately 554 words and did not establish complete methods, results, discussion, or reference content.",ABSTRACT_ONLY,CLOSED_QA_ADJUDICATED,"The identity-valid Imaging Science article page contained approximately 554 words and did not establish complete methods, results, discussion, or reference content."
