acquisition_order,unique_review_order,canonical_key,title,doi,acquisition_pass,accepted_route,source_format,local_source_path,local_text_path,source_sha256,claim_ids_json,minimum_claim_rank,scientific_content_state,classification_rationale,word_count,character_count,core_section_count,abstract_section,introduction_section,methods_section,results_section,discussion_section,limitations_section,conclusion_section,references_section,method_term_hit_count,method_terms_json,result_term_hit_count,result_terms_json,equation_signal_count,figure_table_signal_count,reference_signal_count,access_gate_hits_json,actual_source_sha256,source_hash_valid,eligible_for_full_scientific_review,eligible_for_bounded_review,source_file_bytes,text_file_exists,scientific_content_state_v1,heading_count,headings_json,abstract_present,reference_count,figure_count,table_count,equation_count
1,2,doi:10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",10.1046/j.0022-202x.2001.01577.x,ALTERNATE,OPENALEX_LOCATION_HTML,HTML,analysis/prior_art/ingestion/scientific_sources/paper-002/source.html,analysis/prior_art/ingestion/scientific_sources/paper-002/source.txt,a7d6f3aabbdd00d245091f2c2cc4dad8744f22586b3bb52263954dd2e664ed3e,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",1,ABSTRACT_OR_PREVIEW_ONLY,Scientific text exists but lacks validated full methods/results structure,1103,7110,0,False,False,False,False,False,False,False,False,2,"[""measurement"",""reflectance""]",2,"[""error"",""mean""]",0,0,0,[],a7d6f3aabbdd00d245091f2c2cc4dad8744f22586b3bb52263954dd2e664ed3e,True,False,False,128933,True,ABSTRACT_OR_PREVIEW_ONLY,24,"[""Account"",""Save citation to file"",""Email citation"",""Add to Collections"",""Add to My Bibliography"",""Your saved search"",""Create a file for external citation management software"",""Your RSS Feed"",""Full text links"",""Actions"",""Page navigation"",""Skin melanin, hemoglobin, and light scattering properties can be quantitatively assessed in vivo using diffuse reflectance spectroscopy"",""Affiliation"",""Skin melanin, hemoglobin, and light scattering properties can be quantitatively assessed in vivo using diffuse reflectance spectroscopy"",""Authors"",""Affiliation"",""Abstract"",""Publication types"",""MeSH terms"",""Substances"",""LinkOut - more resources"",""Full Text Sources"",""Other Literature Sources"",""Medical""]",True,1,0,0,0
3,10,doi:10.1038/s41597-025-04382-5,Investigating the Quality of DermaMNIST and Fitzpatrick17k Dermatological Image Datasets.,10.1038/s41597-025-04382-5,PRIMARY,EUROPE_PMC_FULL_TEXT_XML,XML,analysis/prior_art/ingestion/scientific_sources/paper-010/source.xml,analysis/prior_art/ingestion/scientific_sources/paper-010/source.txt,820e00bc1db5266995d7c92402deef1d6f5711174d800087deeae84f9e868f3d,"[""TC-NOV-004"",""TC-NOV-006""]",1,FULL_SCIENTIFIC_TEXT,"Format structure contains methods, results, discussion/conclusion, and article back matter",19107,126754,4,False,True,True,True,True,False,False,False,12,"[""camera"",""dataset"",""experiment"",""illumination"",""measurement"",""neural network"",""optimization"",""patients"",""sample size"",""test set"",""training set"",""validation set""]",10,"[""accuracy"",""compared"",""decreased"",""error"",""improved"",""increased"",""mean"",""observed"",""performance"",""significant""]",5,62,0,[],820e00bc1db5266995d7c92402deef1d6f5711174d800087deeae84f9e868f3d,True,True,True,270846,True,SUBSTANTIVE_PARTIAL_TEXT,43,"[""Subject terms"",""Introduction"",""Results"",""DermaMNIST"",""Data Leakage"",""Results on 224 × 224 resolution"",""Extending DermaMNIST"",""Fitzpatrick17k"",""Data duplication and leakage"",""Mislabeled diagnosis and FST labels"",""Erroneous images"",""Non-standardized data partitioning"",""Correcting Fitzpatrick17k"",""Discussion"",""DermaMNIST"",""Data leakage and benchmarks"",""A more challenging dataset"",""Incorrect scaling of images"",""Fitzpatrick17k"",""Duplicate detection and guarantees"",""Dealing with conflicting diagnosis and FST labels"",""Updated benchmarks"",""Comparison to other works"",""Data leakage and reproducibility crisis"",""Methods"",""DermaMNIST"",""Detecting and correcting data leakage"",""Image resizing"",""Model training and evaluation"",""Fitzpatrick17k"",""Duplicate detection and manual verification"",""Interpreting fastdup duplicates visualization"",""Erroneous image detection"",""Correcting Fitzpatrick17k"",""Model training and evaluation"",""Hardware and Software Environments"",""Source Datasets’ Licenses"",""Acknowledgements"",""Author contributions"",""Data availability"",""Code availability"",""Competing interests"",""References""]",True,126,9,8,114
4,1,doi:10.1117/1.jbo.28.3.035001,Deep learning-based optical approach for skin analysis of melanin and hemoglobin distribution.,10.1117/1.jbo.28.3.035001,PRIMARY,EUROPE_PMC_FULL_TEXT_XML,XML,analysis/prior_art/ingestion/scientific_sources/paper-001/source.xml,analysis/prior_art/ingestion/scientific_sources/paper-001/source.txt,7f1b5c422f5431b9d40a9ba7a497962b8fbc754a9a361ecf80510b7abeea1109,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-003"",""TC-NOV-005""]",2,FULL_SCIENTIFIC_TEXT,"Format structure contains methods, results, discussion/conclusion, and article back matter",6773,43125,5,False,True,True,True,True,False,True,False,15,"[""camera"",""dataset"",""experiment"",""illumination"",""instrument"",""measurement"",""monte carlo"",""neural network"",""optimization"",""reflectance"",""regression"",""spectral"",""spectrometer"",""subjects"",""wavelength""]",8,"[""accuracy"",""compared"",""correlation"",""error"",""mean"",""performance"",""sensitivity"",""significant""]",49,24,0,[],7f1b5c422f5431b9d40a9ba7a497962b8fbc754a9a361ecf80510b7abeea1109,True,True,True,110245,True,SUBSTANTIVE_PARTIAL_TEXT,30,"[""Abstract."",""Significance"",""Aim"",""Approach"",""Results"",""Conclusion"",""Keywords:"",""Introduction"",""Methods"",""Skin Segmentation Model"",""Patch Divider and Combiner"",""UNet Model and Training Conditions"",""Forward Model"",""Image acquisition"",""Forward and inverse problem"",""Acquisition conditions"",""Optical modeling of skin layers"",""Skin reflectance"",""Image formation"",""Color transformation matrix with virtual ColorChecker"",""Image formation"",""Metrics"",""Experiments"",""Results"",""Discussion"",""Conclusion"",""Acknowledgments"",""Disclosures"",""Code, Data and Materials Statement"",""References""]",True,55,9,0,102
5,11,doi:10.1111/jdv.17076,"Hyperspectral measurement of skin reflectance detects differences in the visible and near‐infrared regions according to race, gender and body site",10.1111/jdv.17076,ALTERNATE,OPENALEX_BEST_HTML,HTML,analysis/prior_art/ingestion/scientific_sources/paper-011/source.html,analysis/prior_art/ingestion/scientific_sources/paper-011/source.txt,5f80d0fa3643c73d7abfb7ac8cde1152b0c5afa6b0ded63515ddb4232d099ea7,"[""TC-NOV-002"",""TC-NOV-005""]",2,ABSTRACT_OR_PREVIEW_ONLY,Scientific text exists but lacks validated full methods/results structure,1936,12572,0,False,False,False,False,False,False,False,False,6,"[""measurement"",""participants"",""patients"",""reflectance"",""spectral"",""wavelength""]",5,"[""confidence interval"",""error"",""mean"",""observed"",""significant""]",1,9,0,[],5f80d0fa3643c73d7abfb7ac8cde1152b0c5afa6b0ded63515ddb4232d099ea7,True,False,False,113509,True,SUBSTANTIVE_PARTIAL_TEXT,22,"[""PERMALINK"",""Hyperspectral measurement of skin reflectance detects differences in the visible and near-infrared regions according to race, gender and body site"",""J Tsai"",""AL Chien"",""JU Kang"",""S Leung"",""S Kang"",""LA Garza"",""Table 1."",""Figure 1."",""Acknowledgements"",""Funding source"",""Footnotes"",""References"",""ACTIONS"",""PERMALINK"",""RESOURCES"",""Similar articles"",""Cited by other articles"",""Links to NCBI Databases"",""Cite"",""Add to Collections""]",False,1,1,1,0
7,13,doi:10.1093/ced/llaf126,Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study,10.1093/ced/llaf126,ALTERNATE,OPENALEX_LOCATION_HTML,HTML,analysis/prior_art/ingestion/scientific_sources/paper-013/source.html,analysis/prior_art/ingestion/scientific_sources/paper-013/source.txt,252df7414956c484dcb2e98b3ff98364e387d11b84aa0f0f0e7d51e3df3eda7f,"[""TC-NOV-004"",""TC-NOV-006""]",2,ABSTRACT_OR_PREVIEW_ONLY,Scientific text exists but lacks validated full methods/results structure,1317,8501,0,False,False,False,False,False,False,False,False,0,[],2,"[""error"",""mean""]",0,0,0,[],252df7414956c484dcb2e98b3ff98364e387d11b84aa0f0f0e7d51e3df3eda7f,True,False,False,138502,True,ABSTRACT_OR_PREVIEW_ONLY,23,"[""Account"",""Save citation to file"",""Email citation"",""Add to Collections"",""Add to My Bibliography"",""Your saved search"",""Create a file for external citation management software"",""Your RSS Feed"",""Full text links"",""Actions"",""Page navigation"",""Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study"",""Affiliations"",""Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study"",""Authors"",""Affiliations"",""Abstract"",""Conflict of interest statement"",""Publication types"",""MeSH terms"",""LinkOut - more resources"",""Full Text Sources"",""Medical""]",True,1,0,0,0
8,3,doi:10.1002/jbio.202400118,Noninvasive Detection of the Skin Structure and Inversed Retrieval of Chromophore Information Based on Diffuse Reflectance Spectroscopy,10.1002/jbio.202400118,ALTERNATE,OPENALEX_LOCATION_HTML,HTML,analysis/prior_art/ingestion/scientific_sources/paper-003/source.html,analysis/prior_art/ingestion/scientific_sources/paper-003/source.txt,36f8376aae25e8276ad98adf41c74684ee66ae48f274af75903209a744740c57,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,ABSTRACT_OR_PREVIEW_ONLY,Scientific text exists but lacks validated full methods/results structure,1348,8491,0,False,False,False,False,False,False,False,False,4,"[""monte carlo"",""optimization"",""reflectance"",""wavelength""]",4,"[""accuracy"",""error"",""improved"",""mean""]",0,0,0,[],36f8376aae25e8276ad98adf41c74684ee66ae48f274af75903209a744740c57,True,False,False,125951,True,ABSTRACT_OR_PREVIEW_ONLY,24,"[""Account"",""Save citation to file"",""Email citation"",""Add to Collections"",""Add to My Bibliography"",""Your saved search"",""Create a file for external citation management software"",""Your RSS Feed"",""Full text links"",""Actions"",""Page navigation"",""Noninvasive Detection of the Skin Structure and Inversed Retrieval of Chromophore Information Based on Diffuse Reflectance Spectroscopy"",""Affiliation"",""Noninvasive Detection of the Skin Structure and Inversed Retrieval of Chromophore Information Based on Diffuse Reflectance Spectroscopy"",""Authors"",""Affiliation"",""Abstract"",""References"",""Publication types"",""MeSH terms"",""Substances"",""Grants and funding"",""LinkOut - more resources"",""Full Text Sources""]",True,2,0,0,0
11,16,doi:10.3390/curroncol30030241,Validity of a Self-Assessment Skin Tone Palette Compared to a Colorimeter for Characterizing Skin Color for Skin Cancer Research.,10.3390/curroncol30030241,PRIMARY,EUROPE_PMC_FULL_TEXT_XML,XML,analysis/prior_art/ingestion/scientific_sources/paper-016/source.xml,analysis/prior_art/ingestion/scientific_sources/paper-016/source.txt,118845a3fe90d51fc050c34681a1eedb420191818cef3777aa87687403c107b1,"[""TC-NOV-003"",""TC-NOV-005""]",3,FULL_SCIENTIFIC_TEXT,"Format structure contains methods, results, discussion/conclusion, and article back matter",7882,47118,5,False,True,True,True,True,False,True,False,9,"[""experiment"",""instrument"",""measurement"",""participants"",""patients"",""reflectance"",""sample size"",""spectrometer"",""subjects""]",12,"[""accuracy"",""compared"",""confidence interval"",""correlation"",""decreased"",""increased"",""mean"",""median"",""performance"",""sensitivity"",""significant"",""specificity""]",7,10,0,[],118845a3fe90d51fc050c34681a1eedb420191818cef3777aa87687403c107b1,True,True,True,122585,True,SUBSTANTIVE_PARTIAL_TEXT,25,"[""Abstract"",""1. Introduction"",""2. Materials and Methods"",""2.1. The Self-Assessment Skin Tone Palette (SASTP) Development"",""2.1.1. Drafted Palette, Face Validity including Cognitive Interviewing Revisions"",""2.1.2. SASTP Scale"",""2.2. Colorimetry"",""2.3. Survey"",""2.4. Recruitment"",""2.5. Analysis"",""2.5.1. Repeat Reliability"",""2.5.2. Criterion Validity/Intermethod Reliability"",""3. Results"",""4. Discussion"",""5. Conclusions"",""Author Contributions"",""Institutional Review Board Statement"",""Informed Consent Statement"",""Data Availability Statement"",""Conflicts of Interest"",""Funding Statement"",""Footnotes"",""References"",""Associated Data"",""Data Availability Statement""]",True,48,2,4,0
13,4,doi:10.1007/s10043-015-0177-3,Evaluation of light scattering properties and chromophore concentrations in skin tissue based on diffuse reflectance signals at isosbestic wavelengths of hemoglobin,10.1007/s10043-015-0177-3,ALTERNATE,OPENALEX_LOCATION_HTML,HTML,analysis/prior_art/ingestion/scientific_sources/paper-004/source.html,analysis/prior_art/ingestion/scientific_sources/paper-004/source.txt,402d294c18192a850ca5a48e535a251e355243b9e0acb62ea7093be9ed54a0a3,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",4,ABSTRACT_OR_PREVIEW_ONLY,Scientific text exists but lacks validated full methods/results structure,2045,13340,0,False,False,False,False,False,False,False,False,9,"[""experiment"",""illumination"",""instrument"",""measurement"",""monte carlo"",""neural network"",""reflectance"",""subjects"",""wavelength""]",2,"[""improved"",""significant""]",0,6,0,[],402d294c18192a850ca5a48e535a251e355243b9e0acb62ea7093be9ed54a0a3,True,False,False,324362,True,ABSTRACT_OR_PREVIEW_ONLY,32,"[""Evaluation of light scattering properties and chromophore concentrations in skin tissue based on diffuse reflectance signals at isosbestic wavelengths of hemoglobin"",""Abstract"",""Access this article"",""Subscribe and save"",""Buy Now"",""Similar content being viewed by others"",""Determination of Oxy and Deoxyhemoglobin Concentrations in Skin Tissue Using Spatial Frequency Domain Imaging and Artificial Neural Network"",""Skin Color and Pigmentation"",""Photodissociation of Hemoglobin Molecules in Vivo Under External Irradiation"",""Explore related subjects"",""References"",""Author information"",""Authors and Affiliations"",""Corresponding author"",""Rights and permissions"",""About this article"",""Cite this article"",""Share this article"",""Keywords"",""Associated Content"",""The 5th Asian and Pacific-Rim Symposium on Biophotonics, (APBP’15), Yokohama, Japan"",""Access this article"",""Subscribe and save"",""Buy Now"",""Search"",""Navigation"",""Footer Navigation"",""Discover content"",""Publish with us"",""Products and services"",""Our brands"",""Corporate Navigation""]",True,1,6,0,0
14,18,doi:10.2196/31697,Performance of Artificial Intelligence Imaging Models in Detecting Dermatological Manifestations in Higher Fitzpatrick Skin Color Classifications,10.2196/31697,PRIMARY,EUROPE_PMC_FULL_TEXT_XML,XML,analysis/prior_art/ingestion/scientific_sources/paper-018/source.xml,analysis/prior_art/ingestion/scientific_sources/paper-018/source.txt,55e3de69b93c4736c60fd12556a35ae4c441eb3900b3a3e13858533fbd9261fe,"[""TC-NOV-004"",""TC-NOV-006""]",4,SUBSTANTIVE_PARTIAL_TEXT,"Methods and results are structurally present, but complete article shape was not established",2067,13154,5,False,True,True,True,True,False,True,False,2,"[""neural network"",""sample size""]",6,"[""accuracy"",""compared"",""mean"",""performance"",""sensitivity"",""specificity""]",0,5,0,[],55e3de69b93c4736c60fd12556a35ae4c441eb3900b3a3e13858533fbd9261fe,True,False,True,30986,True,ABSTRACT_OR_PREVIEW_ONLY,14,"[""Background"",""Objective"",""Methods"",""Results"",""Conclusions"",""Introduction"",""Background"",""Objective"",""Methods"",""Results"",""Discussion"",""Limitations"",""Conclusion"",""Abbreviations""]",True,11,1,2,0
15,5,doi:10.1007/s10043-010-0040-5,Monte Carlo simulation of spectral reflectance using a multilayered skin tissue model,10.1007/s10043-010-0040-5,ALTERNATE,OPENALEX_LOCATION_HTML,HTML,analysis/prior_art/ingestion/scientific_sources/paper-005/source.html,analysis/prior_art/ingestion/scientific_sources/paper-005/source.txt,8f1e95b76ef72d8b41891f8c868c9a9424af68cd6d704d667c91be9822c54923,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",5,ABSTRACT_OR_PREVIEW_ONLY,Scientific text exists but lacks validated full methods/results structure,1461,9189,0,False,False,False,False,False,False,False,False,5,"[""instrument"",""monte carlo"",""reflectance"",""spectral"",""subjects""]",1,"[""mean""]",0,0,0,[],8f1e95b76ef72d8b41891f8c868c9a9424af68cd6d704d667c91be9822c54923,True,False,False,301168,True,ABSTRACT_OR_PREVIEW_ONLY,29,"[""Monte Carlo simulation of spectral reflectance using a multilayered skin tissue model"",""Abstract"",""Access this article"",""Subscribe and save"",""Buy Now"",""Similar content being viewed by others"",""Simulated reflectance spectra and point spread functions in database constructed by moderate grouping of nine layers in skin model"",""Spectral-based estimation of components concentration in skin tissue layers with independence of shading via optical modeling of skin tissue"",""Machine learning estimation of tissue optical properties"",""Explore related subjects"",""References"",""Author information"",""Authors and Affiliations"",""Rights and permissions"",""About this article"",""Cite this article"",""Share this article"",""Keywords"",""Access this article"",""Subscribe and save"",""Buy Now"",""Search"",""Navigation"",""Footer Navigation"",""Discover content"",""Publish with us"",""Products and services"",""Our brands"",""Corporate Navigation""]",True,1,0,0,0
