claim_id,claim_rank,canonical_key,title,year,doi,pmid,arxiv,url,domains_json,domain_count,best_domain_rank,maximum_domain_score,scientific_review_priority,screen_decision,review_status,unique_review_order,claim_count,claims_json
TC-NOV-001,2,doi:10.1117/1.jbo.28.3.035001,Deep learning-based optical approach for skin analysis of melanin and hemoglobin distribution.,2023.0,10.1117/1.jbo.28.3.035001,36992693.0,,https://europepmc.org/article/MED/36992693,"[""fisher_information_and_cramer_rao_skin_imaging"",""melanin_hemoglobin_and_scattering_identifiability"",""multispectral_band_selection_and_measurement_design"",""skin_reflectance_inverse_models""]",4,3,14.646128,126.62558933333334,UNADJUDICATED,PENDING_EVIDENCE_RESOLUTION,1,4,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-003"",""TC-NOV-005""]"
TC-NOV-002,6,doi:10.1117/1.jbo.28.3.035001,Deep learning-based optical approach for skin analysis of melanin and hemoglobin distribution.,2023.0,10.1117/1.jbo.28.3.035001,36992693.0,,https://europepmc.org/article/MED/36992693,"[""fisher_information_and_cramer_rao_skin_imaging"",""melanin_hemoglobin_and_scattering_identifiability"",""multispectral_band_selection_and_measurement_design"",""skin_reflectance_inverse_models""]",4,3,14.646128,126.62558933333334,UNADJUDICATED,PENDING_EVIDENCE_RESOLUTION,1,4,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-003"",""TC-NOV-005""]"
TC-NOV-003,6,doi:10.1117/1.jbo.28.3.035001,Deep learning-based optical approach for skin analysis of melanin and hemoglobin distribution.,2023.0,10.1117/1.jbo.28.3.035001,36992693.0,,https://europepmc.org/article/MED/36992693,"[""fisher_information_and_cramer_rao_skin_imaging"",""melanin_hemoglobin_and_scattering_identifiability"",""multispectral_band_selection_and_measurement_design"",""skin_reflectance_inverse_models""]",4,3,14.646128,126.62558933333334,UNADJUDICATED,PENDING_EVIDENCE_RESOLUTION,1,4,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-003"",""TC-NOV-005""]"
TC-NOV-005,4,doi:10.1117/1.jbo.28.3.035001,Deep learning-based optical approach for skin analysis of melanin and hemoglobin distribution.,2023.0,10.1117/1.jbo.28.3.035001,36992693.0,,https://europepmc.org/article/MED/36992693,"[""fisher_information_and_cramer_rao_skin_imaging"",""melanin_hemoglobin_and_scattering_identifiability"",""multispectral_band_selection_and_measurement_design"",""skin_reflectance_inverse_models""]",4,3,14.646128,126.62558933333334,UNADJUDICATED,PENDING_EVIDENCE_RESOLUTION,1,4,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-003"",""TC-NOV-005""]"
TC-NOV-001,1,doi:10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",2001.0,10.1046/j.0022-202x.2001.01577.x,,,https://doi.org/10.1046/j.0022-202x.2001.01577.x,"[""fisher_information_and_cramer_rao_skin_imaging"",""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models"",""skin_tissue_optical_forward_models""]",4,1,19.075188,197.150376,UNADJUDICATED,PENDING_EVIDENCE_RESOLUTION,2,3,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]"
TC-NOV-002,1,doi:10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",2001.0,10.1046/j.0022-202x.2001.01577.x,,,https://doi.org/10.1046/j.0022-202x.2001.01577.x,"[""fisher_information_and_cramer_rao_skin_imaging"",""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models"",""skin_tissue_optical_forward_models""]",4,1,19.075188,197.150376,UNADJUDICATED,PENDING_EVIDENCE_RESOLUTION,2,3,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]"
TC-NOV-005,1,doi:10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",2001.0,10.1046/j.0022-202x.2001.01577.x,,,https://doi.org/10.1046/j.0022-202x.2001.01577.x,"[""fisher_information_and_cramer_rao_skin_imaging"",""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models"",""skin_tissue_optical_forward_models""]",4,1,19.075188,197.150376,UNADJUDICATED,PENDING_EVIDENCE_RESOLUTION,2,3,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]"
TC-NOV-001,3,doi:10.1002/jbio.202400118,Noninvasive Detection of the Skin Structure and Inversed Retrieval of Chromophore Information Based on Diffuse Reflectance Spectroscopy,2024.0,10.1002/jbio.202400118,,,https://doi.org/10.1002/jbio.202400118,"[""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models""]",2,2,16.0,119.0,UNADJUDICATED,PENDING_EVIDENCE_RESOLUTION,3,3,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]"
TC-NOV-002,7,doi:10.1002/jbio.202400118,Noninvasive Detection of the Skin Structure and Inversed Retrieval of Chromophore Information Based on Diffuse Reflectance Spectroscopy,2024.0,10.1002/jbio.202400118,,,https://doi.org/10.1002/jbio.202400118,"[""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models""]",2,2,16.0,119.0,UNADJUDICATED,PENDING_EVIDENCE_RESOLUTION,3,3,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]"
TC-NOV-005,5,doi:10.1002/jbio.202400118,Noninvasive Detection of the Skin Structure and Inversed Retrieval of Chromophore Information Based on Diffuse Reflectance Spectroscopy,2024.0,10.1002/jbio.202400118,,,https://doi.org/10.1002/jbio.202400118,"[""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models""]",2,2,16.0,119.0,UNADJUDICATED,PENDING_EVIDENCE_RESOLUTION,3,3,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]"
