unique_review_order,canonical_key,title,doi,claims_json,scientific_content_state,total_match_count,scientific_match_count,full_text_candidate_count,best_match_path,best_match_content_state,matches_json
1,doi:10.1117/1.jbo.28.3.035001,Deep learning-based optical approach for skin analysis of melanin and hemoglobin distribution.,10.1117/1.jbo.28.3.035001,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-003"",""TC-NOV-005""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
2,doi:10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",10.1046/j.0022-202x.2001.01577.x,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
3,doi:10.1002/jbio.202400118,Noninvasive Detection of the Skin Structure and Inversed Retrieval of Chromophore Information Based on Diffuse Reflectance Spectroscopy,10.1002/jbio.202400118,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
4,doi:10.1007/s10043-015-0177-3,Evaluation of light scattering properties and chromophore concentrations in skin tissue based on diffuse reflectance signals at isosbestic wavelengths of hemoglobin,10.1007/s10043-015-0177-3,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
5,doi:10.1007/s10043-010-0040-5,Monte Carlo simulation of spectral reflectance using a multilayered skin tissue model,10.1007/s10043-010-0040-5,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
6,doi:10.1117/1.jbo.29.9.093507,"Hyperspectral imaging with deep learning for quantification of tissue hemoglobin, melanin, and scattering",10.1117/1.jbo.29.9.093507,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
7,doi:10.1117/1.jbo.28.10.107001,"Measuring and imaging of transcutaneous bilirubin, hemoglobin, and melanin based on diffuse reflectance spectroscopy",10.1117/1.jbo.28.10.107001,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
8,doi:10.1016/j.visres.2022.108048,Effect of skin colors due to hemoglobin or melanin modulation on facial expression recognition,10.1016/j.visres.2022.108048,"[""TC-NOV-001"",""TC-NOV-003"",""TC-NOV-005""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
9,doi:10.1364/oe.425401,Optimized light source spectral power distribution for RGB camera based spectral reflectance recovery,10.1364/oe.425401,"[""TC-NOV-002"",""TC-NOV-003""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
10,doi:10.1038/s41597-025-04382-5,Investigating the Quality of DermaMNIST and Fitzpatrick17k Dermatological Image Datasets.,10.1038/s41597-025-04382-5,"[""TC-NOV-004"",""TC-NOV-006""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
11,doi:10.1111/jdv.17076,"Hyperspectral measurement of skin reflectance detects differences in the visible and near‐infrared regions according to race, gender and body site",10.1111/jdv.17076,"[""TC-NOV-002"",""TC-NOV-005""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
12,doi:10.1109/cvprw50498.2020.00239,Adaptive Weighted Attention Network with Camera Spectral Sensitivity Prior for Spectral Reconstruction from RGB Images,10.1109/cvprw50498.2020.00239,"[""TC-NOV-002"",""TC-NOV-003""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
13,doi:10.1093/ced/llaf126,Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study,10.1093/ced/llaf126,"[""TC-NOV-004"",""TC-NOV-006""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
14,doi:10.1117/12.3098393,Optimal wavelength selection for laparoscopic multispectral imaging to visualize tissue oxygenation,10.1117/12.3098393,"[""TC-NOV-002"",""TC-NOV-003""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
15,doi:10.2352/issn.2470-1173.2016.13.iqsp-219,Effect of Capture Illumination on Preferred White Point for Camera Automatic White Balance,10.2352/issn.2470-1173.2016.13.iqsp-219,"[""TC-NOV-003"",""TC-NOV-006""]",NO_EXISTING_SOURCE_MATCH,0,0,0,,,[]
