review_queue_position,canonical_key,title,year,authors,doi,pmid,arxiv,venue,publication_type,citation_count,abstract_available,url,query_family_ids,domain_slot_count,domain_count,domains_json,domain_appearances_json,best_domain_rank,maximum_domain_score,source_admission_states_json,review_status,adjudication_state,exclusion_reason_code,exclusion_reason_text,primary_or_contextual,truecolor_claim_ids_json,closest_prior_art_candidate,full_text_evidence_available,methods_evidence_available,equation_evidence_available,validation_evidence_available,limitations_evidence_available,same_estimand,same_population,same_measurement_operator,same_mechanism_decomposition,same_external_validation,overlap_level,novelty_kill_triggered,reviewer_1_decision,reviewer_1_notes,reviewer_2_decision,reviewer_2_notes,adjudication_notes,evidence_artifact_paths_json,mapped_claim_ids_json,mapped_claim_count,screening_state,screen_rule_ids_json,screening_decision_final,scientific_review_priority,scientific_relevance_decision,scientific_relevance_reason,claim_overlap_review_status,full_text_review_status
1,doi:10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",2001.0,"[""George Zonios"",""Julie Bykowski"",""Nikiforos Kollias""]",10.1046/j.0022-202x.2001.01577.x,,,Journal of Investigative Dermatology,journal-article,375,False,https://doi.org/10.1046/j.0022-202x.2001.01577.x,"[""QF-001"",""QF-002"",""QF-003"",""QF-008""]",4,4,"[""fisher_information_and_cramer_rao_skin_imaging"",""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models"",""skin_tissue_optical_forward_models""]","[{""domain"":""skin_tissue_optical_forward_models"",""domain_rank"":1,""domain_score"":19.075188},{""domain"":""skin_reflectance_inverse_models"",""domain_rank"":1,""domain_score"":16.575188},{""domain"":""melanin_hemoglobin_and_scattering_identifiability"",""domain_rank"":1,""domain_score"":14.075188},{""domain"":""fisher_information_and_cramer_rao_skin_imaging"",""domain_rank"":1,""domain_score"":11.575188}]",1,19.075188,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,SCIENTIFIC_REVIEW_REQUIRED,[],False,197.150376,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
2,doi:10.1364/oe.425401,Optimized light source spectral power distribution for RGB camera based spectral reflectance recovery,2021.0,"[""Lixia Wang"",""Aditya Sole"",""Jon Yngve Hardeberg"",""Xiaoxia Wan""]",10.1364/oe.425401,,,Optics Express,journal-article,10,True,https://doi.org/10.1364/oe.425401,"[""QF-005"",""QF-006""]",2,2,"[""camera_metamerism_and_spectral_reconstruction"",""camera_spectral_sensitivity_and_observation_operators""]","[{""domain"":""camera_spectral_sensitivity_and_observation_operators"",""domain_rank"":1,""domain_score"":12.041393},{""domain"":""camera_metamerism_and_spectral_reconstruction"",""domain_rank"":6,""domain_score"":12.041393}]",1,12.041393,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-002"",""TC-NOV-003""]",2,SCIENTIFIC_REVIEW_REQUIRED,[],False,156.082786,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
3,doi:10.1111/jdv.17076,"Hyperspectral measurement of skin reflectance detects differences in the visible and near‐infrared regions according to race, gender and body site",2021.0,"[""J. Tsai"",""A.L. Chien"",""J.U. Kang"",""S. Leung"",""S. Kang"",""L.A. Garza""]",10.1111/jdv.17076,,,Journal of the European Academy of Dermatology and Venereology,journal-article,10,False,https://doi.org/10.1111/jdv.17076,"[""QF-004""]",1,1,"[""spectral_reflectance_geometry_and_dimension""]","[{""domain"":""spectral_reflectance_geometry_and_dimension"",""domain_rank"":1,""domain_score"":16.041393}]",1,16.041393,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-002"",""TC-NOV-005""]",2,SCIENTIFIC_REVIEW_REQUIRED,[],False,153.082786,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
4,doi:10.1109/cvprw50498.2020.00239,Adaptive Weighted Attention Network with Camera Spectral Sensitivity Prior for Spectral Reconstruction from RGB Images,2020.0,"[""Jiaojiao Li"",""Chaoxiong Wu"",""Rui Song"",""Yunsong Li"",""Fei Liu""]",10.1109/cvprw50498.2020.00239,,,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),proceedings-article,180,False,https://doi.org/10.1109/cvprw50498.2020.00239,"[""QF-006""]",1,1,"[""camera_metamerism_and_spectral_reconstruction""]","[{""domain"":""camera_metamerism_and_spectral_reconstruction"",""domain_rank"":1,""domain_score"":14.757679}]",1,14.757679,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-002"",""TC-NOV-003""]",2,SCIENTIFIC_REVIEW_REQUIRED,[],False,150.515358,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
5,doi:10.1038/s41597-025-04382-5,Investigating the Quality of DermaMNIST and Fitzpatrick17k Dermatological Image Datasets.,2025.0,"[""Abhishek K"",""Jain A"",""Hamarneh G.""]",10.1038/s41597-025-04382-5,39893183.0,,,,6,True,https://europepmc.org/article/MED/39893183,"[""QF-012"",""QF-013""]",1,1,"[""dermatology_dataset_duplicates_labels_and_quality""]","[{""domain"":""dermatology_dataset_duplicates_labels_and_quality"",""domain_rank"":1,""domain_score"":14.345098}]",1,14.345098,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-004"",""TC-NOV-006""]",2,SCIENTIFIC_REVIEW_REQUIRED,[],False,149.690196,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
6,doi:10.1093/ced/llaf126,Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study,2025.0,"[""Goranit Sakunchotpanit"",""Krithika Nayudu"",""Ryan Chen"",""Sofia Milosavljevic"",""Thomas Z Rohan"",""Laura Ortiz-López"",""Kaushik Venkatesh"",""Vinod E Nambudiri""]",10.1093/ced/llaf126,,,Clinical and Experimental Dermatology,journal-article,2,True,https://doi.org/10.1093/ced/llaf126,"[""QF-011""]",1,1,"[""dermatology_ai_fairness_and_skin_tone""]","[{""domain"":""dermatology_ai_fairness_and_skin_tone"",""domain_rank"":1,""domain_score"":13.977121}]",1,13.977121,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-004"",""TC-NOV-006""]",2,SCIENTIFIC_REVIEW_REQUIRED,[],False,148.954242,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
7,doi:10.1117/12.3098393,Optimal wavelength selection for laparoscopic multispectral imaging to visualize tissue oxygenation,2025.0,"[""Annekatrin Pfahl"",""Hannes Köhler"",""Andreas Melzer""]",10.1117/12.3098393,,,Diffuse Optical Spectroscopy and Imaging X,proceedings-article,0,False,https://doi.org/10.1117/12.3098393,"[""QF-007""]",1,1,"[""multispectral_band_selection_and_measurement_design""]","[{""domain"":""multispectral_band_selection_and_measurement_design"",""domain_rank"":1,""domain_score"":12.5}]",1,12.5,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-002"",""TC-NOV-003""]",2,SCIENTIFIC_REVIEW_REQUIRED,[],False,146.0,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
8,doi:10.2352/issn.2470-1173.2016.13.iqsp-219,Effect of Capture Illumination on Preferred White Point for Camera Automatic White Balance,2016.0,"[""Ben Bodner"",""Yixuan Wang"",""Susan Farnand""]",10.2352/issn.2470-1173.2016.13.iqsp-219,,,Electronic Imaging,journal-article,1,False,https://doi.org/10.2352/issn.2470-1173.2016.13.iqsp-219,"[""QF-010""]",1,1,"[""capture_variability_white_balance_and_illumination""]","[{""domain"":""capture_variability_white_balance_and_illumination"",""domain_rank"":1,""domain_score"":11.80103}]",1,11.80103,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-003"",""TC-NOV-006""]",2,SCIENTIFIC_REVIEW_REQUIRED,[],False,144.60206,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
9,doi:10.3390/curroncol30030241,Validity of a Self-Assessment Skin Tone Palette Compared to a Colorimeter for Characterizing Skin Color for Skin Cancer Research.,2023.0,"[""Martin MK"",""Zaman T"",""Okello AM"",""Dennis LK.""]",10.3390/curroncol30030241,36975454.0,,,,5,True,https://europepmc.org/article/MED/36975454,"[""QF-009""]",1,1,"[""skin_colorimetry_ita_and_color_measurement""]","[{""domain"":""skin_colorimetry_ita_and_color_measurement"",""domain_rank"":1,""domain_score"":11.778151}]",1,11.778151,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-003"",""TC-NOV-005""]",2,SCIENTIFIC_REVIEW_REQUIRED,[],False,144.55630200000002,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
10,doi:10.1117/1.jbo.28.3.035001,Deep learning-based optical approach for skin analysis of melanin and hemoglobin distribution.,2023.0,"[""Jung G"",""Kim S"",""Lee J"",""Yoo S.""]",10.1117/1.jbo.28.3.035001,36992693.0,,,,13,True,https://europepmc.org/article/MED/36992693,"[""QF-002"",""QF-003"",""QF-007"",""QF-008""]",4,4,"[""fisher_information_and_cramer_rao_skin_imaging"",""melanin_hemoglobin_and_scattering_identifiability"",""multispectral_band_selection_and_measurement_design"",""skin_reflectance_inverse_models""]","[{""domain"":""melanin_hemoglobin_and_scattering_identifiability"",""domain_rank"":3,""domain_score"":12.146128},{""domain"":""skin_reflectance_inverse_models"",""domain_rank"":5,""domain_score"":14.646128},{""domain"":""fisher_information_and_cramer_rao_skin_imaging"",""domain_rank"":6,""domain_score"":9.646128},{""domain"":""multispectral_band_selection_and_measurement_design"",""domain_rank"":13,""domain_score"":9.646128}]",3,14.646128,"[""UNSCREENED_NOT_ADMITTED""]",PENDING,UNADJUDICATED,,,,[],False,,,,,,,,,,,,,,,,,,[],"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-003"",""TC-NOV-005""]",4,SCIENTIFIC_REVIEW_REQUIRED,[],False,126.62558933333334,UNADJUDICATED,,NOT_STARTED,NOT_STARTED
