acquisition_order,unique_review_order,acquisition_priority,canonical_key,title,year,doi,doi_url,claim_ids_json,claim_count,minimum_claim_rank,maximum_claim_rank,scientific_content_state,acquisition_status,acquisition_route,access_class,license,resolved_source_url,source_format,local_source_path,source_sha256,source_validation_status,scientific_extraction_status,acquisition_notes
1,2,P1_CLOSEST_PAPERS,doi:10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",2001.0,10.1046/j.0022-202x.2001.01577.x,https://doi.org/10.1046/j.0022-202x.2001.01577.x,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,1,1,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-002,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
2,9,P1_CLOSEST_PAPERS,doi:10.1364/oe.425401,Optimized light source spectral power distribution for RGB camera based spectral reflectance recovery,2021.0,10.1364/oe.425401,https://doi.org/10.1364/oe.425401,"[""TC-NOV-002"",""TC-NOV-003""]",2,1,2,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-009,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
3,10,P1_CLOSEST_PAPERS,doi:10.1038/s41597-025-04382-5,Investigating the Quality of DermaMNIST and Fitzpatrick17k Dermatological Image Datasets.,2025.0,10.1038/s41597-025-04382-5,https://doi.org/10.1038/s41597-025-04382-5,"[""TC-NOV-004"",""TC-NOV-006""]",2,1,1,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-010,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
4,1,P1_CLOSEST_PAPERS,doi:10.1117/1.jbo.28.3.035001,Deep learning-based optical approach for skin analysis of melanin and hemoglobin distribution.,2023.0,10.1117/1.jbo.28.3.035001,https://doi.org/10.1117/1.jbo.28.3.035001,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-003"",""TC-NOV-005""]",4,2,6,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-001,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
5,11,P1_CLOSEST_PAPERS,doi:10.1111/jdv.17076,"Hyperspectral measurement of skin reflectance detects differences in the visible and near‐infrared regions according to race, gender and body site",2021.0,10.1111/jdv.17076,https://doi.org/10.1111/jdv.17076,"[""TC-NOV-002"",""TC-NOV-005""]",2,2,3,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-011,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
6,12,P1_CLOSEST_PAPERS,doi:10.1109/cvprw50498.2020.00239,Adaptive Weighted Attention Network with Camera Spectral Sensitivity Prior for Spectral Reconstruction from RGB Images,2020.0,10.1109/cvprw50498.2020.00239,https://doi.org/10.1109/cvprw50498.2020.00239,"[""TC-NOV-002"",""TC-NOV-003""]",2,2,4,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-012,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
7,13,P1_CLOSEST_PAPERS,doi:10.1093/ced/llaf126,Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study,2025.0,10.1093/ced/llaf126,https://doi.org/10.1093/ced/llaf126,"[""TC-NOV-004"",""TC-NOV-006""]",2,2,2,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-013,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
8,3,P1_CLOSEST_PAPERS,doi:10.1002/jbio.202400118,Noninvasive Detection of the Skin Structure and Inversed Retrieval of Chromophore Information Based on Diffuse Reflectance Spectroscopy,2024.0,10.1002/jbio.202400118,https://doi.org/10.1002/jbio.202400118,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,3,7,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-003,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
9,14,P1_CLOSEST_PAPERS,doi:10.1117/12.3098393,Optimal wavelength selection for laparoscopic multispectral imaging to visualize tissue oxygenation,2025.0,10.1117/12.3098393,https://doi.org/10.1117/12.3098393,"[""TC-NOV-002"",""TC-NOV-003""]",2,3,5,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-014,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
10,15,P1_CLOSEST_PAPERS,doi:10.2352/issn.2470-1173.2016.13.iqsp-219,Effect of Capture Illumination on Preferred White Point for Camera Automatic White Balance,2016.0,10.2352/issn.2470-1173.2016.13.iqsp-219,https://doi.org/10.2352/issn.2470-1173.2016.13.iqsp-219,"[""TC-NOV-003"",""TC-NOV-006""]",2,3,4,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-015,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
