global_rank,global_candidate_count,canonical_key,global_priority_score,maximum_domain_score,domain_breadth_bonus,domain_count,assigned_domains,strongest_domain,domain_rankings,title,year,authors,doi,pmid,arxiv,venue,publication_type,citation_count,abstract_available,url,query_family_ids,discovery_queries,admission_state
1,1303,doi:10.1046/j.0022-202x.2001.01577.x,19.825188,19.075188,0.75,4,"[""fisher_information_and_cramer_rao_skin_imaging"",""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models"",""skin_tissue_optical_forward_models""]",skin_tissue_optical_forward_models,"[{""domain"":""fisher_information_and_cramer_rao_skin_imaging"",""domain_candidate_count"":120,""domain_rank"":1,""domain_score"":11.575188},{""domain"":""melanin_hemoglobin_and_scattering_identifiability"",""domain_candidate_count"":71,""domain_rank"":1,""domain_score"":14.075188},{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":1,""domain_score"":16.575188},{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":1,""domain_score"":19.075188}]","Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",2001,"[""George Zonios"",""Julie Bykowski"",""Nikiforos Kollias""]",10.1046/j.0022-202x.2001.01577.x,,,Journal of Investigative Dermatology,journal-article,375,False,https://doi.org/10.1046/j.0022-202x.2001.01577.x,"[""QF-001"",""QF-002"",""QF-003"",""QF-008""]","[""Fisher information skin spectroscopy melanin hemoglobin"",""melanin hemoglobin scattering identifiability skin spectroscopy"",""skin diffuse reflectance forward model melanin hemoglobin scattering"",""skin spectral reflectance inverse problem melanin hemoglobin""]",UNSCREENED_NOT_ADMITTED
2,1303,doi:10.1007/s10043-010-0040-5,17.429419,17.429419,0.0,1,"[""skin_tissue_optical_forward_models""]",skin_tissue_optical_forward_models,"[{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":2,""domain_score"":17.429419}]",Monte Carlo simulation of spectral reflectance using a multilayered skin tissue model,2010,"[""Takaaki Maeda"",""Naomi Arakawa"",""Motoji Takahashi"",""Yoshihisa Aizu""]",10.1007/s10043-010-0040-5,,,Optical Review,journal-article,84,False,https://doi.org/10.1007/s10043-010-0040-5,"[""QF-001""]","[""Monte Carlo skin tissue optical forward model reflectance"",""multilayer skin optical model spectral reflectance""]",UNSCREENED_NOT_ADMITTED
3,1303,doi:10.1007/s10043-015-0177-3,16.60206,16.10206,0.5,3,"[""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models"",""skin_tissue_optical_forward_models""]",skin_tissue_optical_forward_models,"[{""domain"":""melanin_hemoglobin_and_scattering_identifiability"",""domain_candidate_count"":71,""domain_rank"":4,""domain_score"":12.10206},{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":6,""domain_score"":14.60206},{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":3,""domain_score"":16.10206}]",Evaluation of light scattering properties and chromophore concentrations in skin tissue based on diffuse reflectance signals at isosbestic wavelengths of hemoglobin,2016,"[""Takumi Yokokawa"",""Izumi Nishidate""]",10.1007/s10043-015-0177-3,,,Optical Review,journal-article,3,False,https://doi.org/10.1007/s10043-015-0177-3,"[""QF-001"",""QF-002"",""QF-003""]","[""inverse model skin reflectance chromophore concentration"",""skin chromophore parameter identifiability diffuse reflectance"",""skin diffuse reflectance forward model melanin hemoglobin scattering""]",UNSCREENED_NOT_ADMITTED
4,1303,doi:10.1002/jbio.202400118,16.25,16.0,0.25,2,"[""melanin_hemoglobin_and_scattering_identifiability"",""skin_reflectance_inverse_models""]",skin_reflectance_inverse_models,"[{""domain"":""melanin_hemoglobin_and_scattering_identifiability"",""domain_candidate_count"":71,""domain_rank"":20,""domain_score"":8.5},{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":2,""domain_score"":16.0}]",Noninvasive Detection of the Skin Structure and Inversed Retrieval of Chromophore Information Based on Diffuse Reflectance Spectroscopy,2024,"[""Jinyao Wang"",""Dong Li"",""Bin Chen""]",10.1002/jbio.202400118,,,Journal of Biophotonics,journal-article,0,True,https://doi.org/10.1002/jbio.202400118,"[""QF-002"",""QF-003""]","[""inverse model skin reflectance chromophore concentration"",""skin chromophore parameter identifiability diffuse reflectance""]",UNSCREENED_NOT_ADMITTED
5,1303,doi:10.1111/srt.12421,16.079181,16.079181,0.0,1,"[""skin_tissue_optical_forward_models""]",skin_tissue_optical_forward_models,"[{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":4,""domain_score"":16.079181}]",Analysis of the influence of collagen fibres in the dermis on skin optical reflectance by Monte Carlo simulation in a nine‐layered skin model,2018,"[""Y. Masuda"",""Y. Ogura"",""Y. Inagaki"",""T. Yasui"",""Y. Aizu""]",10.1111/srt.12421,,,Skin Research and Technology,journal-article,11,True,https://doi.org/10.1111/srt.12421,"[""QF-001""]","[""Monte Carlo skin tissue optical forward model reflectance""]",UNSCREENED_NOT_ADMITTED
6,1303,doi:10.1111/jdv.17076,16.041393,16.041393,0.0,1,"[""spectral_reflectance_geometry_and_dimension""]",spectral_reflectance_geometry_and_dimension,"[{""domain"":""spectral_reflectance_geometry_and_dimension"",""domain_candidate_count"":115,""domain_rank"":1,""domain_score"":16.041393}]","Hyperspectral measurement of skin reflectance detects differences in the visible and near‐infrared regions according to race, gender and body site",2021,"[""J. Tsai"",""A.L. Chien"",""J.U. Kang"",""S. Leung"",""S. Kang"",""L.A. Garza""]",10.1111/jdv.17076,,,Journal of the European Academy of Dermatology and Venereology,journal-article,10,False,https://doi.org/10.1111/jdv.17076,"[""QF-004""]","[""body site conditioned skin reflectance spectrum dimension""]",UNSCREENED_NOT_ADMITTED
7,1303,doi:10.19184/cerimre.v5i2.31668,16.0,16.0,0.0,1,"[""skin_tissue_optical_forward_models""]",skin_tissue_optical_forward_models,"[{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":5,""domain_score"":16.0}]",Optical Ray Tracing Simulation by Using Monte Carlo Method for Reflectance-based Photoplethysmography Sensor in Human Skin and Fingertip Model,2022,"[""Muhamad Affiq Bin Misran"",""Anubha Bilgaiyan"",""Reiji Hattori""]",10.19184/cerimre.v5i2.31668,,,Computational And Experimental Research In Materials And Renewable Energy,journal-article,0,True,https://doi.org/10.19184/cerimre.v5i2.31668,"[""QF-001""]","[""Monte Carlo skin tissue optical forward model reflectance""]",UNSCREENED_NOT_ADMITTED
8,1303,doi:10.1111/ics.12147,15.954243,15.954243,0.0,1,"[""skin_reflectance_inverse_models""]",skin_reflectance_inverse_models,"[{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":3,""domain_score"":15.954243}]",Determination of melanin types and relative concentrations: an observational study using a non‐invasive inverse skin reflectance analysis,2014,"[""A. F. M. Hani"",""R. Baba"",""N. Shamsuddin"",""H. Nugroho""]",10.1111/ics.12147,,,International Journal of Cosmetic Science,journal-article,8,True,https://doi.org/10.1111/ics.12147,"[""QF-002""]","[""skin spectral reflectance inverse problem melanin hemoglobin""]",UNSCREENED_NOT_ADMITTED
9,1303,doi:10.1117/1.jbo.28.10.107001,15.829181,15.579181,0.25,2,"[""skin_reflectance_inverse_models"",""skin_tissue_optical_forward_models""]",skin_reflectance_inverse_models,"[{""domain"":""skin_reflectance_inverse_models"",""domain_candidate_count"":109,""domain_rank"":4,""domain_score"":15.579181},{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":6,""domain_score"":15.579181}]","Measuring and imaging of transcutaneous bilirubin, hemoglobin, and melanin based on diffuse reflectance spectroscopy",2023,"[""Masafumi Minakawa"",""Md. Abdul Wares"",""Kazuya Nakano"",""Hideaki Haneishi"",""Yoshihisa Aizu"",""Yoshio Hayasaki"",""Tetsuo Ikeda"",""Hajime Nagahara"",""Izumi Nishidate""]",10.1117/1.jbo.28.10.107001,37915398,,Journal of Biomedical Optics,journal-article,11,False,https://doi.org/10.1117/1.jbo.28.10.107001,"[""QF-001"",""QF-002""]","[""inverse model skin reflectance chromophore concentration"",""skin diffuse reflectance forward model melanin hemoglobin scattering""]",UNSCREENED_NOT_ADMITTED
10,1303,doi:10.1117/1.jbo.17.7.077005,15.544068,15.544068,0.0,1,"[""skin_tissue_optical_forward_models""]",skin_tissue_optical_forward_models,"[{""domain"":""skin_tissue_optical_forward_models"",""domain_candidate_count"":96,""domain_rank"":7,""domain_score"":15.544068}]",Noninvasive evaluation of collagen and hemoglobin contents and scattering property of<i>in vivo</i>keloid scars and normal skin using diffuse reflectance spectroscopy: pilot study,2012,"[""Sheng-Hao Tseng"",""Chao-Kai Hsu"",""Julia Yu-Yun Lee"",""Shih-Yu Tzeng"",""Wan-Rung Chen"",""Yu-Kai Liaw""]",10.1117/1.jbo.17.7.077005,,,Journal of Biomedical Optics,journal-article,34,False,https://doi.org/10.1117/1.jbo.17.7.077005,"[""QF-001""]","[""skin diffuse reflectance forward model melanin hemoglobin scattering""]",UNSCREENED_NOT_ADMITTED
