domain,domain_rank,domain_candidate_count,canonical_key,domain_score,title,year,authors,doi,pmid,arxiv,venue,publication_type,citation_count,abstract_available,url,query_family_ids,domain_term_hits,title_term_hits,nonzero_score_components,admission_state
camera_metamerism_and_spectral_reconstruction,1,102,doi:10.1109/cvprw50498.2020.00239,14.757679,Adaptive Weighted Attention Network with Camera Spectral Sensitivity Prior for Spectral Reconstruction from RGB Images,2020,"[""Jiaojiao Li"",""Chaoxiong Wu"",""Rui Song"",""Yunsong Li"",""Fei Liu""]",10.1109/cvprw50498.2020.00239,,,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),proceedings-article,180,False,https://doi.org/10.1109/cvprw50498.2020.00239,"[""QF-006""]","[""camera"",""rgb"",""spectral reconstruction""]","[""camera"",""rgb"",""spectral reconstruction""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb"",""spectral reconstruction""],""value"":4.5},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb"",""spectral reconstruction""],""value"":3.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""proceedings-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":180,""value"":2.257679},{""component"":""publication_year_2020_or_later"",""evidence"":2020,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,2,102,doi:10.1117/1.jbo.27.2.026004,13.541393,Skin chromophore mapping by smartphone RGB camera under spectral band and spectral line illumination,2022,"[""Ilona Kuzmina"",""Ilze Oshina"",""Laura Dambite"",""Vanesa Lukinsone"",""Anna Maslobojeva"",""Anna Berzina"",""Janis Spigulis""]",10.1117/1.jbo.27.2.026004,,,Journal of Biomedical Optics,journal-article,10,False,https://doi.org/10.1117/1.jbo.27.2.026004,"[""QF-005"",""QF-006"",""QF-007""]","[""camera"",""rgb"",""skin""]","[""camera"",""rgb"",""skin""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb"",""skin""],""value"":4.5},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb"",""skin""],""value"":3.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""journal-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":10,""value"":1.041393},{""component"":""publication_year_2020_or_later"",""evidence"":2022,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,3,102,doi:10.1364/josaa.23.001814,13.00515,Metamer-set-based approach to estimating surface reflectance from camera RGB,2006,"[""Peter Morovic"",""Graham D. Finlayson""]",10.1364/josaa.23.001814,,,Journal of the Optical Society of America A,journal-article,31,False,https://doi.org/10.1364/josaa.23.001814,"[""QF-006""]","[""camera"",""metamer"",""rgb""]","[""camera"",""metamer"",""rgb""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""metamer"",""rgb""],""value"":4.5},{""component"":""title_term_hits"",""evidence"":[""camera"",""metamer"",""rgb""],""value"":3.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""journal-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":31,""value"":1.50515}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,4,102,doi:10.1109/ls2566125.2025.11467691,12.5,Camera Spectral Reconstruction from 2 RGB Triplets for Lighting Analysis,2025,"[""Nicolas Da Costa"",""Raphaël Labayrade""]",10.1109/ls2566125.2025.11467691,,,2025 IEEE Sustainable Smart Lighting World Conference &amp;amp; Expo (LS25),proceedings-article,0,False,https://doi.org/10.1109/ls2566125.2025.11467691,"[""QF-006""]","[""camera"",""rgb"",""spectral reconstruction""]","[""camera"",""rgb"",""spectral reconstruction""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb"",""spectral reconstruction""],""value"":4.5},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb"",""spectral reconstruction""],""value"":3.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""proceedings-article""],""value"":2.0},{""component"":""publication_year_2020_or_later"",""evidence"":2025,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,5,102,doi:10.3788/aos201737.0933001,12.278151,Spectral Reconstruction from Single RGB Image of Trichromatic Digital Camera,2017,"[""梁金星 Liang Jinxing"",""万晓霞 Wan Xiaoxia""]",10.3788/aos201737.0933001,,,Acta Optica Sinica,journal-article,5,False,https://doi.org/10.3788/aos201737.0933001,"[""QF-006""]","[""camera"",""rgb"",""spectral reconstruction""]","[""camera"",""rgb"",""spectral reconstruction""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb"",""spectral reconstruction""],""value"":4.5},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb"",""spectral reconstruction""],""value"":3.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""journal-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":5,""value"":0.778151}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,6,102,doi:10.1364/oe.425401,12.041393,Optimized light source spectral power distribution for RGB camera based spectral reflectance recovery,2021,"[""Lixia Wang"",""Aditya Sole"",""Jon Yngve Hardeberg"",""Xiaoxia Wan""]",10.1364/oe.425401,,,Optics Express,journal-article,10,True,https://doi.org/10.1364/oe.425401,"[""QF-005"",""QF-006""]","[""camera"",""rgb""]","[""camera"",""rgb""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""abstract_available"",""evidence"":true,""value"":1.0},{""component"":""primary_publication_type"",""evidence"":[""journal-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":10,""value"":1.041393},{""component"":""publication_year_2020_or_later"",""evidence"":2021,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,7,102,doi:10.3390/s22134923,11.778151,Auxiliary Reference Samples for Extrapolating Spectral Reflectance from Camera RGB Signals,2022,"[""Yu-Che Wen"",""Senfar Wen"",""Long Hsu"",""Sien Chi""]",10.3390/s22134923,,,Sensors,journal-article,5,True,https://doi.org/10.3390/s22134923,"[""QF-005"",""QF-006""]","[""camera"",""rgb""]","[""camera"",""rgb""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""abstract_available"",""evidence"":true,""value"":1.0},{""component"":""primary_publication_type"",""evidence"":[""journal-article""],""value"":2.0},{""component"":""citation_log10"",""evidence"":5,""value"":0.778151},{""component"":""publication_year_2020_or_later"",""evidence"":2022,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,8,102,doi:10.3390/s24113666,11.60206,Spectral Reconstruction from RGB Imagery: A Potential Option for Infinite Spectral Data?,2024,"[""Fsian AN"",""Thomas JB"",""Hardeberg JY"",""Gouton P.""]",10.3390/s24113666,38894457,,,,3,True,https://europepmc.org/article/MED/38894457,"[""QF-005"",""QF-006""]","[""rgb"",""spectral reconstruction""]","[""rgb"",""spectral reconstruction""]","[{""component"":""domain_term_hits"",""evidence"":[""rgb"",""spectral reconstruction""],""value"":3.0},{""component"":""title_term_hits"",""evidence"":[""rgb"",""spectral reconstruction""],""value"":2.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""pmid_present"",""evidence"":true,""value"":2.0},{""component"":""abstract_available"",""evidence"":true,""value"":1.0},{""component"":""citation_log10"",""evidence"":3,""value"":0.60206},{""component"":""publication_year_2020_or_later"",""evidence"":2024,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,9,102,doi:10.21203/rs.3.rs-9053537/v1,11.5,Contactless Human Oxygen Saturation Detection Using RGB Camera in an Induced Hypoxemia Study with Varied Skin Types,2026,"[""Li Zhu"",""Migyeong Gwak"",""Korosh Vatanparvar"",""Qijia Shao"",""Sharanya Desai"",""Jungmok Bae"",""Jilong Kuang"",""Alex Gao""]",10.21203/rs.3.rs-9053537/v1,,,,posted-content,0,True,https://doi.org/10.21203/rs.3.rs-9053537/v1,"[""QF-005"",""QF-006""]","[""camera"",""rgb"",""skin""]","[""camera"",""rgb"",""skin""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb"",""skin""],""value"":4.5},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb"",""skin""],""value"":3.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""abstract_available"",""evidence"":true,""value"":1.0},{""component"":""publication_year_2020_or_later"",""evidence"":2026,""value"":1.0}]",UNSCREENED_NOT_ADMITTED
camera_metamerism_and_spectral_reconstruction,10,102,doi:10.2352/j.imagingsci.technol.2019.63.4.040406,11.5,Detecting Wetness on Skin using RGB Camera,2019,"[""Mihiro Uchida"",""Norimichi Tsumura""]",10.2352/j.imagingsci.technol.2019.63.4.040406,,,Journal of Imaging Science and Technology,journal-article,0,False,https://doi.org/10.2352/j.imagingsci.technol.2019.63.4.040406,"[""QF-005"",""QF-006""]","[""camera"",""rgb"",""skin""]","[""camera"",""rgb"",""skin""]","[{""component"":""domain_term_hits"",""evidence"":[""camera"",""rgb"",""skin""],""value"":4.5},{""component"":""title_term_hits"",""evidence"":[""camera"",""rgb"",""skin""],""value"":3.0},{""component"":""doi_present"",""evidence"":true,""value"":2.0},{""component"":""primary_publication_type"",""evidence"":[""journal-article""],""value"":2.0}]",UNSCREENED_NOT_ADMITTED
