pdf_path,pdf_filename,pdf_sha256,pdf_size_bytes,page_count,pdfinfo_title,doi_candidates,title_candidates
preprocessed_intake/corpus_prior_art_paper-pdf/01_color_clinical_decoupling_2025.pdf,01_color_clinical_decoupling_2025.pdf,22a2865354ce7555d301c242af15dd5d591132a17e4dc9af62b7cd1116c988f8,1872500,21,Region-Specific Calibration Achieves Excellent Inter-Device Reliability for Smartphone Dermatology: A Multi-Device Benchmark on Korean Facial Skin,,"Region-Specific Calibration Achieves Excellent Inter-Device Reliability for Smartphone Dermatology: A Multi-Device Benchmark on Korean Facial Skin || Region-Specific Calibration Achieves Excellent Inter-Device || Reliability for Smartphone Dermatology: A Multi-Device || Benchmark on Korean Facial Skin || Sungwoo Kang and Jong-Kook Kim || Department of Electrical and Computer Engineering, Korea University, Seoul, || School of Electrical Engineering, Korea University, Seoul, Republic of Korea || arXiv:2512.21988v4 [eess.IV] 2 Jul 2026 || Background: Smartphone-based dermatology requires inter-device colorimetric reliabil- || ity that holds across calibration regimes, yet quantitative multi-device benchmarks remain || scarce. Materials and Methods: We analyzed matched facial images from 965 Korean || subjects captured by a digital single-lens reflex (DSLR) camera, a consumer tablet, and a"
preprocessed_intake/corpus_prior_art_paper-pdf/02_limitations_data_driven_spectral_reconstruction_2024.pdf,02_limitations_data_driven_spectral_reconstruction_2024.pdf,3b548e943f0fc1d63d3899f4ca3a26e139f97025c8f824c44359a3d13fd77a3a,21396748,28,Limitations of Data-Driven Spectral Reconstruction -- An Optics-Aware Analysis,,"Limitations of Data-Driven Spectral Reconstruction -- An Optics-Aware Analysis || Limitations of Data-Driven Spectral Reconstruction: || An Optics-Aware Analysis || Qiang Fu*, Matheus Souza*, Eunsue Choi, Suhyun Shin, Seung-Hwan Baek, Wolfgang Heidrich Fellow, IEEE || systems with the distinct capability of identifying materials which cannot be distinguished from their RGB colors. Skin || through recording their spectral signatures. Recent efforts in tumors could not be diagnosed from surrounding tissues of || data-driven spectral reconstruction aim at extracting spectral || information from RGB images captured by cost-effective RGB the same color. It is difficult to spot and sort out plastic leaves || cameras, instead of dedicated hardware. Published work reports from living plants by their greenish colors. Therefore, spectral || arXiv:2401.03835v4 [cs.CV] 19 Oct 2025 || exceedingly high numerical scores for this reconstruction task, imaging has been applied in many fields, including computer || yet real-world performance lags substantially behind. graphics [49], machine vision [34], [65], healthcare [57],"
preprocessed_intake/corpus_prior_art_paper-pdf/03_hyper_skin_2023.pdf,03_hyper_skin_2023.pdf,1e1eb86e85d48213ede04324576a8599a6d0fc3991d1a7149406428fb9e159c2,1279782,13,,,"Hyper-Skin: A Hyperspectral Dataset for || Reconstructing Facial Skin-Spectra from RGB Images || Pai Chet Ng 1 , Zhixiang Chi 1 , Yannick Verdie 2 , Juwei Lu 2 , Konstantinos N. Plataniotis 1 || The Edward S. Rogers Sr. Department of Electrical and Computer Engineering, University of Toronto || Huawei Noah’s Ark Laboratory, Huawei Canada || arXiv:2310.17911v1 [eess.IV] 27 Oct 2023 || We introduce Hyper-Skin, a hyperspectral dataset covering wide range of wave- || lengths from visible (VIS) spectrum (400nm - 700nm) to near-infrared (NIR) || spectrum (700nm - 1000nm), uniquely designed to facilitate research on facial || skin-spectra reconstruction. By reconstructing skin spectra from RGB images, || our dataset enables the study of hyperspectral skin analysis, such as melanin || and hemoglobin concentrations, directly on the consumer device. Overcom-"
preprocessed_intake/corpus_prior_art_paper-pdf/04_cleanpatrick_2025.pdf,04_cleanpatrick_2025.pdf,a7664599d76f227dc397e18aa031ff25ba577ae2163914d818b96aebb8f23169,5819962,31,CleanPatrick: A Benchmark for Image Data Cleaning,,"CleanPatrick: A Benchmark for Image Data Cleaning || Journal of Data-centric Machine Learning Research (2026) Submitted 9/25; Revised 05/26; Published 05/26 || Fabian Gröger∗1,2 , Simone Lionetti2 , Philippe Gottfrois1 , || Alvaro Gonzalez-Jimenez2,3 , Ludovic Amruthalingam2 , || Elisabeth V. Goessinger3 , Hanna Lindemann3 , Marie Bargiela3 , || Marie Hofbauer3 , Omar Badri5 , Philipp Tschandl6 , Arash Koochek7 , || Matthew Groh4 , Alexander A. Navarini†1,3 , Marc Pouly†2 || University of Basel 2 Lucerne University of Applied Sciences and Arts || University Hospital of Basel 4 Northwestern University || arXiv:2505.11034v2 [cs.CV] 9 Jun 2026 || Northeast Dermatology Associates 6 Medical University of Vienna 7 Banner Health"
preprocessed_intake/corpus_prior_art_paper-pdf/05_ddi_2021.pdf,05_ddi_2021.pdf,a080914346bc6e38a0f07af3cfc1ef8a65ab1bcbaf6ec299a025d58b6965c939,4188409,7,,,"Proceedings of Machine Learning Research LEAVE UNSET:1–7, 2021 Machine Learning for Health (ML4H) 2021 || Disparities in Dermatology AI: Assessments Using Diverse || Roxana Daneshjou∗ roxanad@stanford.edu || Kailas Voldrahalli∗ kailasv@stanford.edu || Weixin Liang∗ wxliang@stanford.edu || Roberto Novoa rnovoa@stanford.edu || Melissa Jenkins mjj@stanford.edu || arXiv:2111.08006v1 [eess.IV] 15 Nov 2021 || Stanford University, CA, 94305 || Veronica Rotemberg rotembev@mskcc.org || Memorial Sloan Kettering, NY, 10065 || Justin Ko jmko@stanford.edu"
preprocessed_intake/corpus_prior_art_paper-pdf/06_fitzpatrick17k_2021.pdf,06_fitzpatrick17k_2021.pdf,827fd6540d0246a38114d08cd9c3d2e749caa58f51beb2d4ec2525c24295291d,1132095,9,,,"Evaluating Deep Neural Networks Trained on Clinical Images in Dermatology || with the Fitzpatrick 17k Dataset || Matthew Groh Caleb Harris Luis Soenksen Felix Lau || MIT Media Lab MIT Media Lab MIT, Harvard University Scale || Cambridge, MA Cambridge, MA Cambridge, MA San Francisco, CA || groh@mit.edu harrisc@mit.edu soenksen@mit.edu felix.lau@scale.com || arXiv:2104.09957v1 [cs.CV] 20 Apr 2021 || Rachel Han Aerin Kim Arash Koochek || Scale Scale Banner Health || San Francisco, CA San Francisco, CA Phoenix, AZ || rachel.han@scale.com aerin.kim@scale.com arash.koochek@bannerhealth.com || Northeast Dermatology Associates"
preprocessed_intake/corpus_prior_art_paper-pdf/07_mste_2023.pdf,07_mste_2023.pdf,779b2390bfb237ec4dfb29643263295997646081a28a1103a384ca0e55f47ada,8662552,30,,,"Consensus and Subjectivity of Skin Tone Annotation || Candice Schumann Gbolahan O. Olanubi Auriel Wright || Google Google Google || United States United States United States || cschumann@google.com femio@google.com aurielwright@google.com || arXiv:2305.09073v3 [cs.CV] 2 Jan 2024 || Ellis Monk, Jr. Courtney Heldreth Susanna Ricco || Harvard University∗ Google Google || emonk@fas.harvard.edu cheldreth@google.com ricco@google.com || Understanding different human attributes and how they affect model behavior may || become a standard need for all model creation and usage, from traditional computer"
preprocessed_intake/corpus_prior_art_paper-pdf/08_smartphone_tristimulus_colorimetry_2024.pdf,08_smartphone_tristimulus_colorimetry_2024.pdf,96797443e7e23a60daba8633911aa96fd8371a2b524f5c609ae5aea9bdf26263,7487527,29,,,"Smartphone tristimulus colorimetry for skin-tone analysis at || common pulse oximetry anatomical sites || Joshua A. Burrowa,* , Rutendo Jakachiraa,b , Gannon Lemastera , Kimani C. Toussaint, Jr.a,c,* || Brown University, PROBE Lab, School of Engineering, 184 Hope Street, Providence, RI, 02906, USA || Brown University, Physics Department, 184 Hope Street, Providence, RI, 02906, USA || Brown University Center for Digital Health, 139 Point Street, Providence, Rhode Island, 02912, USA || arXiv:2411.13832v1 [physics.med-ph] 21 Nov 2024 || Significance: Smartphones hold great potential in point-of-care settings due to their accessibility and computational || capabilities. This is critical as clinicians increasingly seek to quantify skin-tone, a characteristic which has been shown || to impact the accuracy of pulse oximetry readings particularly for dark skin tones, and hence, disproportionately affect || Aim: This study presents a smartphone-based imaging technique for determining individual typology angle (ITA) and || compares these results to those obtained using an industry-standard tristimulus colorimeter, particularly for the finger,"
preprocessed_intake/corpus_prior_art_paper-pdf/09_standardized_camera_calibration_2019.pdf,09_standardized_camera_calibration_2019.pdf,9c47dad4cb21dd1af93091e0728ddad14144205f7087db4675ff8450be67eb29,1218443,27,,,"Standardized spectral and radiometric || calibration of consumer cameras || O LIVIER B URGGRAAFF 1,2,* , N ORBERT S CHMIDT 3 , J AIME || Z AMORANO 4 , K LAAS PAULY 5 , S ERGIO PASCUAL 4 , C ARLOS TAPIA 4 , || E VANGELOS S PYRAKOS 6 , AND F RANS S NIK 1 || 1 Leiden Observatory, Leiden University, PO Box 9513, 2300 RA Leiden, The Netherlands || 2 Institute of Environmental Sciences (CML), Leiden University, PO Box 9518, 2300 RA Leiden, The || arXiv:1906.04155v1 [physics.ins-det] 7 Jun 2019 || 3 DDQ Apps, Webservices, Project Management, Maastricht, The Netherlands || 4 Dept. Astrofísica y CC. de la Atmósfera, IPARCOS, Universidad Complutense de Madrid, Madrid, 28040, || 5 VITO; Flemish Institute for Technological Research, Mol, Belgium || 6 Biological and Environmental Sciences, School of Natural Sciences, University of Stirling, Stirling, United"
preprocessed_intake/corpus_prior_art_paper-pdf/10_spectral_sensitivity_without_camera_2023.pdf,10_spectral_sensitivity_without_camera_2023.pdf,db18e92a45f46b7dae7fd635f868d6e423970e5b6de67514fa7d864356634f28,11946241,21,,,"Spectral Sensitivity Estimation Without a || Grigory Solomatov, Member, IEEE, and Derya Akkaynak, Member, IEEE || As consumer cameras are not designed for high-precision visual tasks, manufacturers do not disclose spectral sensitivities. Their || estimation requires a costly optical setup, which triggered researchers to come up with numerous indirect methods that aim to lower || cost and complexity by using color targets. However, the use of color targets gives rise to new complications that make the estimation || more difficult, and consequently, there currently exists no simple, low-cost, robust go-to method for spectral sensitivity estimation that || non-specialized research labs can adopt. Furthermore, even if not limited by hardware or cost, researchers frequently work with || imagery from multiple cameras that they do not have in their possession. To provide a practical solution to this problem, we propose a || arXiv:2304.11549v2 [eess.IV] 11 Jul 2023 || framework for spectral sensitivity estimation that not only does not require any hardware (including a color target), but also does not || require physical access to the camera itself. Similar to other work, we formulate an optimization problem that minimizes a two-term || objective function: a camera-specific term from a system of equations, and a universal term that bounds the solution space. Different"
